GP,absref,relmyo,myolevel,Eye,Region,ROI,Layer,c,K,rho,alpha,Z
11-3,10.33,0,EM,LE,SUP,3.2,4,1520.542255,2.45970436,1.059546952,8.53318E-06,1.612972372
11-3,10.33,0,EM,LE,SUP,3.4,1,1689.410421,3.015968697,1.073657345,9.22754E-06,1.972842738
11-3,10.33,0,EM,LE,SUP,3.4,2,1793.688503,3.301748214,1.054752162,8.37473E-06,1.891431519
11-3,10.33,0,EM,LE,SUP,3.4,3,1550.845009,2.558323102,1.052823844,1.16148E-05,1.636295498
11-3,10.33,0,EM,LE,SUP,3.4,4,1505.764904,2.409671123,1.056767808,5.79071E-06,1.591799809
11-3,10.33,0,EM,LE,SUP,4.2,1,1576.850967,2.635396777,1.048102155,2.73166E-06,1.627517632
11-3,10.33,0,EM,LE,SUP,4.2,2,1770.238532,3.021286234,0.99094467,1.01075E-05,1.71001181
11-3,10.33,0,EM,LE,SUP,4.2,3,1712.252938,3.002684562,1.023479305,8.61331E-06,1.751787661
11-3,10.33,0,EM,LE,SUP,4.2,4,1579.569695,2.597061618,1.035708257,1.28112E-05,1.635006068
11-3,10.33,0,EM,LE,SUP,4.4,1,1537.452714,2.546725486,1.088370295,4.67636E-06,1.718948756
11-3,10.33,0,EM,LE,SUP,4.4,2,1855.106598,3.350541809,1.019724487,9.516E-06,1.894490079
11-3,10.33,0,EM,LE,SUP,4.4,3,1693.787173,2.956371379,1.031597726,9.71761E-06,1.744496575
11-3,10.33,0,EM,LE,SUP,4.4,4,1534.452845,2.493661053,1.045764105,1.30066E-05,1.606652541
11-3,10.33,0,EM,LE,INF,1.4,1,1589.282878,2.495021043,0.997698484,6.4638E-06,1.541315955
11-3,10.33,0,EM,LE,INF,1.4,2,1745.92264,2.75187847,0.956887803,1.17395E-05,1.576225454
11-3,10.33,0,EM,LE,INF,1.4,3,1632.113879,2.647635227,0.994201803,1.04426E-05,1.615878052
11-3,10.33,0,EM,LE,INF,1.4,4,1643.803163,2.616774054,0.973824565,7.73041E-06,1.589324991
11-3,10.33,0,EM,LE,INF,1.6,1,1598.543192,2.538923738,1.00653437,8.98763E-06,1.567230041
11-3,10.33,0,EM,LE,INF,1.6,2,1745.870648,2.761741339,0.971562183,1.13858E-05,1.580287974
11-3,10.33,0,EM,LE,INF,1.6,3,1643.66836,2.661133213,0.98973031,1.05314E-05,1.613748058
11-3,10.33,0,EM,LE,INF,1.6,4,1579.835604,2.501620945,0.998952818,5.01147E-06,1.577174991
11-3,10.33,0,EM,LE,INF,1.8,1,1584.342863,2.567343829,1.017522345,9.48992E-06,1.592292117
