GP,absref,relmyo,myolevel,Eye,Region,ROI,Layer,c,K,rho,alpha,Z
12-1,6.96,0,EM,LE,SUP,2.4,1,1564.948747,2.579241281,1.084997808,6.54095E-06,1.689770574
12-1,6.96,0,EM,LE,SUP,2.4,2,1766.901159,3.099321924,1.000450568,1.43779E-05,1.767815134
12-1,6.96,0,EM,LE,SUP,2.4,3,1659.141489,2.732162812,0.993553456,1.0103E-05,1.646216109
12-1,6.96,0,EM,LE,SUP,2.4,4,1571.466189,2.494366822,1.010106205,8.39756E-06,1.586007031
12-1,6.96,0,EM,LE,INF,0,1,1652.46513,2.701659439,0.994278931,8.41837E-06,1.632067714
12-1,6.96,0,EM,LE,INF,0,2,1844.159399,3.176246729,0.956022334,1.35333E-05,1.72394297
12-1,6.96,0,EM,LE,INF,0,3,1746.430967,2.83425309,0.943514807,7.54621E-06,1.621198291
12-1,6.96,0,EM,LE,INF,0,4,1695.548307,2.667150036,0.937869516,5.63135E-06,1.570884992
12-1,6.96,0,EM,LE,INF,0,1,1674.87268,2.765019639,0.994406903,9.96761E-06,1.660775071
12-1,6.96,0,EM,LE,INF,0,2,1888.602231,3.220186494,0.948240135,1.40618E-05,1.730377292
12-1,6.96,0,EM,LE,INF,0,3,1785.484834,3.028877459,0.958057682,8.2037E-06,1.694349873
12-1,6.96,0,EM,LE,INF,0,4,1696.575631,2.672221646,0.938072384,6.59556E-06,1.572656495
12-1,-2.33,9.29,HM,RE,INF,3.6,1,1516.793829,2.485295101,1.072492483,4.94758E-06,1.634303042
12-1,-2.33,9.29,HM,RE,INF,3.6,2,1767.825548,3.032641023,0.986392546,1.93915E-05,1.727661109
12-1,-2.33,9.29,HM,RE,INF,3.6,3,1614.590892,2.602882233,0.997634903,8.99568E-06,1.610106185
12-1,-2.33,9.29,HM,RE,INF,3.6,4,1535.613188,2.432286416,1.024109913,5.16398E-06,1.573278345
12-1,-2.33,9.29,HM,RE,INF,3.8,1,1547.357924,2.603956342,1.074675243,7.52984E-06,1.668726453
12-1,-2.33,9.29,HM,RE,INF,3.8,2,1749.97944,3.007883214,0.992472446,1.78307E-05,1.718592758
12-1,-2.33,9.29,HM,RE,INF,3.8,3,1670.315966,2.746167165,0.986321395,1.16614E-05,1.642114005
12-1,-2.33,9.29,HM,RE,INF,3.8,4,1554.04921,2.43498964,1.007313425,5.02924E-06,1.56296921
12-1,-2.33,9.29,HM,RE,INF,4,1,1533.68892,2.536712855,1.064437156,4.3433E-06,1.641138673
12-1,-2.33,9.29,HM,RE,INF,4,2,1750.722895,2.997354933,0.980884699,1.63938E-05,1.711028579
12-1,-2.33,9.29,HM,RE,INF,4,3,1689.502169,2.712927701,0.95558517,1.03447E-05,1.603220036
12-1,-2.33,9.29,HM,RE,INF,4,4,1583.321521,2.497029752,0.99524308,6.99443E-06,1.573495048
12-1,-2.33,9.29,HM,RE,INF,4.2,1,1544.900659,2.565742779,1.066796948,4.5084E-06,1.657856269
12-1,-2.33,9.29,HM,RE,INF,4.2,2,1742.649146,2.974500464,0.982033999,1.54307E-05,1.705770755
12-1,-2.33,9.29,HM,RE,INF,4.2,3,1684.690665,2.732386302,0.964329205,1.09035E-05,1.619417699
12-1,-2.33,9.29,HM,RE,INF,4.2,4,1553.950002,2.441465134,1.010535673,3.66021E-06,1.568959315
12-1,-2.33,9.29,HM,RE,INF,4.4,1,1562.377923,2.570795309,1.055773967,5.5615E-06,1.640707614
12-1,-2.33,9.29,HM,RE,INF,4.4,2,1741.363852,2.84611074,0.955926102,1.44995E-05,1.634694354
12-1,-2.33,9.29,HM,RE,INF,4.4,3,1681.140828,2.744100139,0.971623654,1.20594E-05,1.631386965
12-1,-2.33,9.29,HM,RE,INF,4.4,4,1566.540887,2.467201848,1.00376057,3.89182E-06,1.572037156
12-1,-2.33,9.29,HM,RE,SUP,3.2,1,1549.854575,2.445459982,1.013902406,4.71664E-06,1.571130562
12-1,-2.33,9.29,HM,RE,SUP,3.2,2,1709.48433,2.748099441,0.952246558,1.18111E-05,1.606596882
12-1,-2.33,9.29,HM,RE,SUP,3.2,3,1663.999174,2.686257225,0.975737668,8.86841E-06,1.61223617
12-1,-2.33,9.29,HM,RE,SUP,3.2,4,1639.692405,2.672253072,0.992131936,5.94957E-06,1.626652829
12-1,-2.33,9.29,HM,RE,SUP,3.4,1,1586.039303,2.542441159,1.009372985,6.37268E-06,1.598681789
12-1,-2.33,9.29,HM,RE,SUP,3.4,2,1733.446004,2.843871307,0.949624189,1.04336E-05,1.639627226
12-1,-2.33,9.29,HM,RE,SUP,3.4,3,1784.081074,2.979585932,0.956539078,1.22903E-05,1.669455656
12-1,-2.33,9.29,HM,RE,SUP,3.4,4,1684.96601,2.710086898,0.960143642,8.04847E-06,1.606275263
12-1,-2.33,9.29,HM,RE,SUP,3.6,1,1572.935435,2.516551532,1.014901029,5.84741E-06,1.59283041
12-1,-2.33,9.29,HM,RE,SUP,3.6,2,1710.325868,2.735305294,0.947637389,9.99404E-06,1.597376563
12-1,-2.33,9.29,HM,RE,SUP,3.6,3,1762.86303,2.915358885,0.953972456,9.49404E-06,1.651643673
12-1,-2.33,9.29,HM,RE,SUP,3.6,4,1620.907728,2.569196022,0.981016631,6.63643E-06,1.581963633
12-1,-2.33,9.29,HM,RE,SUP,3.8,1,1547.015722,2.461877909,1.016885373,7.82498E-06,1.573872016
12-1,-2.33,9.29,HM,RE,SUP,3.8,2,1696.777653,2.71138095,0.950609321,9.23432E-06,1.594615422
12-1,-2.33,9.29,HM,RE,SUP,3.8,3,1787.243641,3.103628153,0.981171634,8.93499E-06,1.735449232
12-1,-2.33,9.29,HM,RE,SUP,3.8,4,1582.541886,2.511944683,1.004484296,6.17469E-06,1.582720778
12-1,-2.33,9.29,HM,RE,SUP,4,1,1537.89415,2.459534875,1.034066059,6.80299E-06,1.59044451
12-1,-2.33,9.29,HM,RE,SUP,4,2,1704.825218,2.708687662,0.946386629,9.9927E-06,1.587122102
12-1,-2.33,9.29,HM,RE,SUP,4,3,1732.153325,2.978919957,0.993099519,7.67421E-06,1.717938402
12-1,-2.33,9.29,HM,RE,SUP,4,4,1570.304413,2.515836335,1.017223572,7.80852E-06,1.596338985
12-1,-2.33,9.29,HM,RE,SUP,4.2,1,1546.117415,2.50354783,1.044895341,3.14059E-06,1.606928923
12-1,-2.33,9.29,HM,RE,SUP,4.2,2,1752.320637,2.967219675,0.974355783,7.2454E-06,1.690467896
12-1,-2.33,9.29,HM,RE,SUP,4.2,3,1772.07582,3.051759324,0.977677728,7.86181E-06,1.720914653
12-1,-2.33,9.29,HM,RE,SUP,4.2,4,1647.458898,2.675587418,0.985406229,9.04537E-06,1.622598803
12-1,-2.33,9.29,HM,RE,SUP,4.4,1,1573.244056,2.575211707,1.052165419,2.3756E-06,1.631391189
12-1,-2.33,9.29,HM,RE,SUP,4.4,2,1794.42697,2.969933994,0.951099105,9.34851E-06,1.654090623
12-1,-2.33,9.29,HM,RE,SUP,4.4,3,1767.712403,3.04897612,0.980689498,8.10084E-06,1.723317542
12-1,-2.33,9.29,HM,RE,SUP,4.4,4,1612.844606,2.554307378,0.981523273,6.9683E-06,1.581331102
12-1,-2.33,9.29,HM,RE,SUP,4.6,1,1569.441993,2.603882641,1.070562343,1.99395E-06,1.65733372
12-1,-2.33,9.29,HM,RE,SUP,4.6,2,1878.668269,3.139042229,0.948279914,1.07926E-05,1.669248277
12-1,-2.33,9.29,HM,RE,SUP,4.6,3,1777.435768,2.975224888,0.954447941,1.05108E-05,1.67217414
12-1,-2.33,9.29,HM,RE,SUP,4.6,4,1634.377923,2.614994146,0.979661348,9.7708E-06,1.597327478
12-1,-2.33,9.29,HM,RE,INF,2,1,1834.109885,2.997952448,1.058130516,2.39129E-05,1.781348615
12-1,-2.33,9.29,HM,RE,INF,2,2,1656.710055,2.90299511,1.066773083,1.44018E-05,1.764480684
12-1,-2.33,9.29,HM,RE,INF,2,3,1544.724866,2.546954336,1.059252094,1.57872E-05,1.640896734
12-1,-2.33,9.29,HM,RE,INF,2,4,1497.439347,2.504175588,1.090822126,3.96179E-06,1.664648051
12-1,-2.33,9.29,HM,RE,SUP,2,1,1564.163818,2.510884082,1.018881637,8.4576E-06,1.590769445
12-1,-2.33,9.29,HM,RE,SUP,2,2,1707.698789,2.795984557,0.970065415,1.56559E-05,1.634698588
12-1,-2.33,9.29,HM,RE,SUP,2,3,1648.312688,2.723499796,0.998713637,1.28142E-05,1.645542344
12-1,-2.33,9.29,HM,RE,SUP,2,4,1556.561453,2.487022444,1.025213511,5.38838E-06,1.594390724
12-1,-2.33,9.29,HM,RE,SUP,2.2,1,1614.70633,2.636976729,1.019629406,9.78365E-06,1.62499428
12-1,-2.33,9.29,HM,RE,SUP,2.2,2,1735.412624,2.895507755,0.96842747,1.50622E-05,1.670572312
12-1,-2.33,9.29,HM,RE,SUP,2.2,3,1647.375859,2.739458806,1.007922988,1.20873E-05,1.65859837
12-1,-2.33,9.29,HM,RE,SUP,2.2,4,1623.065983,2.701866387,1.023349823,7.3607E-06,1.661358231
12-1,-2.33,9.29,HM,RE,INF,1.6,1,1532.572175,2.536656907,1.058537693,7.19612E-06,1.630195702
12-1,-2.33,9.29,HM,RE,INF,1.6,2,1777.197874,3.058540904,0.974068779,1.48216E-05,1.720937821
12-1,-2.33,9.29,HM,RE,INF,1.6,3,1751.438562,2.993134627,0.981441528,1.21204E-05,1.706643274
12-1,-2.33,9.29,HM,RE,INF,1.6,4,1599.72391,2.546575867,0.992580978,6.24091E-06,1.586550408
12-1,-2.33,9.29,HM,RE,INF,1.8,1,1567.566858,2.536409869,1.025848551,6.28245E-06,1.607261714
12-1,-2.33,9.29,HM,RE,INF,1.8,2,1831.629564,3.210027733,0.969325189,1.27488E-05,1.759004577
12-1,-2.33,9.29,HM,RE,INF,1.8,3,1743.634155,2.959721927,0.985805368,1.0972E-05,1.694852704
12-1,-2.33,9.29,HM,RE,INF,1.8,4,1575.683358,2.500549624,1.005728488,6.1414E-06,1.584181667
12-1,-2.33,9.29,HM,RE,INF,2,1,1545.294426,2.503040869,1.037903725,5.72876E-06,1.603631116
12-1,-2.33,9.29,HM,RE,INF,2,2,1803.943066,3.125570011,0.979889163,1.37801E-05,1.730209643
12-1,-2.33,9.29,HM,RE,INF,2,3,1746.413418,2.933090941,0.974228893,1.0664E-05,1.677663248
12-1,-2.33,9.29,HM,RE,INF,2,4,1570.702279,2.509931255,1.016872386,5.62234E-06,1.59627532
12-1,-2.33,9.29,HM,RE,INF,2.2,1,1601.384928,2.614140509,1.024946081,1.1457E-05,1.629036817
12-1,-2.33,9.29,HM,RE,INF,2.2,2,1829.561482,3.2272057,0.987057526,1.01834E-05,1.802776416
12-1,-2.33,9.29,HM,RE,INF,2.2,3,1654.644322,2.71685517,0.99298544,7.28107E-06,1.640631177
12-1,-2.33,9.29,HM,RE,INF,2.2,4,1537.934942,2.446327488,1.022677464,4.75462E-06,1.574092048
12-2,6.58,0,EM,LE,SUP,3.8,1,1531.620228,2.40578057,1.019474666,5.88322E-06,1.563145048
12-2,6.58,0,EM,LE,SUP,3.8,2,1777.009808,2.977344363,0.961616364,1.4277E-05,1.671696864
12-2,6.58,0,EM,LE,SUP,3.8,3,1863.384899,3.136517161,0.952719802,1.78894E-05,1.70370731
12-2,6.58,0,EM,LE,SUP,3.8,4,1582.751119,2.479587424,0.993702912,5.21792E-06,1.56228719
12-2,6.58,0,EM,LE,SUP,4,1,1519.94531,2.405531822,1.035175443,3.20228E-06,1.576082952
12-2,6.58,0,EM,LE,SUP,4,2,1845.082045,3.216712559,0.97957064,9.58916E-06,1.783430412
12-2,6.58,0,EM,LE,SUP,4,3,1834.357887,3.112597266,0.983270676,9.89659E-06,1.791989384
12-2,6.58,0,EM,LE,SUP,4,4,1562.759564,2.48797558,1.012783284,5.02504E-06,1.581297241
12-2,6.58,0,EM,LE,SUP,4.2,1,1534.786822,2.495479768,1.05652201,4.55556E-06,1.616234263
12-2,6.58,0,EM,LE,SUP,4.2,2,1830.624908,3.237739214,0.985091642,7.40266E-06,1.772193918
12-2,6.58,0,EM,LE,SUP,4.2,3,1859.034872,3.342127943,0.998962554,1.14047E-05,1.855601827
12-2,6.58,0,EM,LE,SUP,4.2,4,1566.248226,2.529467645,1.021713698,5.97074E-06,1.598153835
12-2,6.58,0,EM,LE,SUP,4.4,1,1527.254181,2.441769102,1.041682031,1.06594E-05,1.591189615
12-2,6.58,0,EM,LE,SUP,4.4,2,1779.616524,3.042966067,0.972103362,1.19346E-05,1.706180681
12-2,6.58,0,EM,LE,SUP,4.4,3,1857.785005,3.321267556,0.990989937,1.19799E-05,1.834816347
12-2,6.58,0,EM,LE,SUP,4.4,4,1623.431385,2.657771437,0.997278882,8.63497E-06,1.607808189
12-2,6.58,0,EM,LE,SUP,4.6,1,1504.657033,2.433323404,1.055430826,7.78989E-06,1.591593503
12-2,6.58,0,EM,LE,SUP,4.6,2,1790.271042,3.114704568,0.994788057,1.02791E-05,1.773058856
12-2,6.58,0,EM,LE,SUP,4.6,3,1822.841544,3.248199684,0.990227641,1.23654E-05,1.801100798
12-2,6.58,0,EM,LE,SUP,4.6,4,1624.149859,2.691367515,1.007792152,1.08573E-05,1.640063729
12-4,6.5,0,EM,LE,INF,1.6,1,1569.413157,2.591882546,1.037282191,6.62652E-06,1.622825526
12-4,6.5,0,EM,LE,INF,1.6,2,1723.526298,2.930631304,0.993692417,1.30893E-05,1.698524233
12-4,6.5,0,EM,LE,INF,1.6,3,1586.162264,2.560423952,1.012778813,9.86136E-06,1.605485351
12-4,6.5,0,EM,LE,INF,1.6,4,1593.400668,2.512151688,0.989482412,6.9721E-06,1.575056331
12-4,6.5,0,EM,LE,INF,2,1,1585.265444,2.566134965,1.04102234,2.06863E-05,1.612569583
12-4,6.5,0,EM,LE,INF,2,2,1626.491475,2.706675533,1.019467319,1.26869E-05,1.656070567
12-4,6.5,0,EM,LE,INF,2,3,1542.994718,2.456972909,1.027964856,5.77865E-06,1.584878196
12-4,6.5,0,EM,LE,INF,2,4,1520.71355,2.397666542,1.027264462,3.50883E-06,1.565881012
12-4,-0.63,7.13,HM,RE,INF,1.2,1,1542.157793,2.563526775,1.064055605,5.59745E-06,1.64545189
12-4,-0.63,7.13,HM,RE,INF,1.2,2,1787.319595,3.080748079,0.980023769,1.45392E-05,1.72277621
12-4,-0.63,7.13,HM,RE,INF,1.2,3,1677.220057,2.757382436,0.992374706,1.31336E-05,1.642044231
12-4,-0.63,7.13,HM,RE,INF,1.2,4,1556.271579,2.499680395,1.030490979,9.5204E-06,1.601935612
12-4,-0.63,7.13,HM,RE,INF,1.4,1,1580.409639,2.685074225,1.067496596,1.11154E-05,1.686299868
12-4,-0.63,7.13,HM,RE,INF,1.4,2,1808.34534,3.1972266,0.994226902,1.11999E-05,1.772263864
12-4,-0.63,7.13,HM,RE,INF,1.4,3,1683.194807,2.760536968,0.991037699,1.33909E-05,1.638597373
12-4,-0.63,7.13,HM,RE,INF,1.4,4,1578.500562,2.533824578,1.015240351,1.06923E-05,1.599897409
12-4,-0.63,7.13,HM,RE,INF,1.6,1,1540.210919,2.550882065,1.076468155,7.61396E-06,1.651756777
12-4,-0.63,7.13,HM,RE,INF,1.6,2,1796.248142,3.004822264,0.969387118,1.40895E-05,1.670489502
12-4,-0.63,7.13,HM,RE,INF,1.6,3,1702.814761,2.773447249,0.986958363,1.33809E-05,1.627860881
12-4,-0.63,7.13,HM,RE,INF,1.6,4,1565.385171,2.508548611,1.027609422,8.21301E-06,1.596618148
12-4,-0.63,7.13,HM,RE,INF,1.8,1,1550.527664,2.596908963,1.068993013,5.13321E-06,1.663219636
12-4,-0.63,7.13,HM,RE,INF,1.8,2,1793.134773,2.987531763,0.960223658,1.31687E-05,1.663522282
12-4,-0.63,7.13,HM,RE,INF,1.8,3,1684.696552,2.77853975,0.981641716,1.33826E-05,1.647286549
12-4,-0.63,7.13,HM,RE,INF,1.8,4,1527.080931,2.437600519,1.039922362,8.01143E-06,1.588547211
12-4,-0.63,7.13,HM,RE,INF,2,1,1592.347773,2.685265064,1.044838086,6.99086E-06,1.683288179
12-4,-0.63,7.13,HM,RE,INF,2,2,1779.860317,3.014821387,0.968341426,1.14295E-05,1.691174288
12-4,-0.63,7.13,HM,RE,INF,2,3,1682.933914,2.774338954,0.983877878,1.25644E-05,1.646822698
12-4,-0.63,7.13,HM,RE,INF,2,4,1539.119097,2.436855559,1.025641443,5.58069E-06,1.578690245
12-4,-0.63,7.13,HM,RE,INF,2.2,1,1528.339346,2.563266826,1.085215387,6.81861E-06,1.671069396
12-4,-0.63,7.13,HM,RE,INF,2.2,2,1844.064219,3.200306781,0.97540096,1.16781E-05,1.738794713
12-4,-0.63,7.13,HM,RE,INF,2.2,3,1757.352399,2.861298956,0.950440332,1.31916E-05,1.626573613
12-4,-0.63,7.13,HM,RE,INF,2.2,4,1606.621627,2.571504369,0.996303001,8.55146E-06,1.595969385
12-4,-0.63,7.13,HM,RE,INF,2.4,1,1557.170314,2.580005241,1.050453029,6.47022E-06,1.635976824
12-4,-0.63,7.13,HM,RE,INF,2.4,2,1858.050007,3.148823082,0.966482059,1.36568E-05,1.710592398
12-4,-0.63,7.13,HM,RE,INF,2.4,3,1751.768568,2.845127947,0.95060865,1.19806E-05,1.621146545
12-4,-0.63,7.13,HM,RE,INF,2.4,4,1607.824447,2.555409442,0.990833556,7.30423E-06,1.587469522
12-4,-0.63,7.13,HM,RE,SUP,1.8,1,1618.312897,2.616433604,1.015230549,7.17132E-06,1.613409496
12-4,-0.63,7.13,HM,RE,SUP,1.8,2,1795.771696,3.012837483,0.9605902,1.53421E-05,1.676841883
12-4,-0.63,7.13,HM,RE,SUP,1.8,3,1670.15167,2.732598432,0.980162765,1.27973E-05,1.634271859
12-4,-0.63,7.13,HM,RE,SUP,1.8,4,1630.148749,2.608568686,0.981280298,6.76592E-06,1.598774027
12-4,-0.63,7.13,HM,RE,SUP,2,1,1574.473598,2.608754253,1.040465737,5.43939E-06,1.643212662
12-4,-0.63,7.13,HM,RE,SUP,2,2,1781.983581,3.073378406,0.969939278,1.43553E-05,1.724038991
12-4,-0.63,7.13,HM,RE,SUP,2,3,1735.363444,2.869726763,0.96392443,1.20711E-05,1.652278279
12-4,-0.63,7.13,HM,RE,SUP,2,4,1678.658594,2.747130031,0.974902485,1.21574E-05,1.635360672
12-4,-0.63,7.13,HM,RE,SUP,2.2,1,1605.545965,2.611441408,1.009592465,5.56733E-06,1.621705912
12-4,-0.63,7.13,HM,RE,SUP,2.2,2,1799.153835,3.09731313,0.960943057,1.53877E-05,1.719599624
12-4,-0.63,7.13,HM,RE,SUP,2.2,3,1732.760203,2.873097372,0.959669823,1.10872E-05,1.65742707
12-4,-0.63,7.13,HM,RE,SUP,2.2,4,1649.86952,2.580392314,0.95193214,6.63269E-06,1.562036746
12-4,-0.63,7.13,HM,RE,INF,1.4,1,1555.853845,2.62099503,1.070881457,7.41822E-06,1.671433232
12-4,-0.63,7.13,HM,RE,INF,1.4,2,1764.357603,2.980383379,0.974634852,1.41739E-05,1.688067236
12-4,-0.63,7.13,HM,RE,INF,1.4,3,1717.061998,2.804768883,0.969606718,1.30654E-05,1.631704266
12-4,-0.63,7.13,HM,RE,INF,1.4,4,1545.194686,2.405065382,1.005411821,3.0995E-06,1.553549017
12-4,-0.63,7.13,HM,RE,INF,1.6,1,1543.497836,2.548451594,1.056851496,7.85518E-06,1.634104814
12-4,-0.63,7.13,HM,RE,INF,1.6,2,1808.614743,3.140098594,0.976350497,1.21172E-05,1.742289653
12-4,-0.63,7.13,HM,RE,INF,1.6,3,1743.300939,2.850897224,0.961703622,1.31741E-05,1.634768289
12-4,-0.63,7.13,HM,RE,INF,1.6,4,1546.812291,2.429816161,1.013554653,4.09912E-06,1.567691953
12-4,-0.63,7.13,HM,RE,INF,1.8,1,1544.479019,2.526967553,1.058023734,7.78007E-06,1.628590904
12-4,-0.63,7.13,HM,RE,INF,1.8,2,1801.877913,3.018588112,0.963421835,1.57592E-05,1.678032507
12-4,-0.63,7.13,HM,RE,INF,1.8,3,1716.877489,2.773881572,0.963068745,1.26296E-05,1.613775236
12-4,-0.63,7.13,HM,RE,INF,1.8,4,1561.800242,2.437003696,0.999271443,4.30314E-06,1.559239109
12-4,-0.63,7.13,HM,RE,SUP,2,1,1697.337832,2.730449728,0.966406642,6.29891E-06,1.610352488
12-4,-0.63,7.13,HM,RE,SUP,2,2,1872.280131,3.041618505,0.938404465,1.3271E-05,1.629119173
12-4,-0.63,7.13,HM,RE,SUP,2,3,1752.490063,2.777863511,0.932673599,6.4268E-06,1.586186739
12-4,-0.63,7.13,HM,RE,SUP,2,4,1717.079791,2.664670214,0.931050101,3.35175E-06,1.550408232
12-4,-0.63,7.13,HM,RE,SUP,2.2,1,1705.137326,2.74133528,0.963490956,5.1853E-06,1.604427294
12-4,-0.63,7.13,HM,RE,SUP,2.2,2,1860.397372,3.00779095,0.93842718,1.3241E-05,1.615180727
12-4,-0.63,7.13,HM,RE,SUP,2.2,3,1791.845623,2.829032258,0.936968014,8.01944E-06,1.57755513
12-4,-0.63,7.13,HM,RE,SUP,2.2,4,1706.923109,2.675196041,0.946090417,4.17151E-06,1.565660501
24-3,,0,EM,LE,INF,2.2,1,1648.637916,2.576771046,0.959286745,5.38143E-06,1.56288245
24-3,,0,EM,LE,INF,2.2,2,2015.782221,3.012112691,0.952073735,9.05302E-06,1.874736845
24-3,,0,EM,LE,INF,2.2,3,1907.760879,3.177435113,0.937135381,8.06905E-06,1.681706351
24-3,,0,EM,LE,INF,2.2,4,1674.643207,2.70437564,0.970269488,4.81371E-06,1.611687222
24-3,,0,EM,LE,SUP,1.2,1,1597.964404,2.549084679,1.00928278,8.81404E-06,1.6116214
24-3,,0,EM,LE,SUP,1.2,2,2020.359419,3.331931095,0.966686361,1.14833E-05,1.922414838
24-3,,0,EM,LE,SUP,1.2,3,1889.50121,3.197408237,0.957167699,1.57234E-05,1.761368476
24-3,,0,EM,LE,SUP,1.2,4,1666.32689,2.705677311,1.011299516,8.78181E-06,1.61998498
24-3,,0,EM,LE,SUP,1.4,1,1539.816846,2.481033917,1.043150377,7.98976E-06,1.609594184
24-3,,0,EM,LE,SUP,1.4,2,1982.486572,3.146406347,0.984542594,1.23907E-05,1.936989063
24-3,,0,EM,LE,SUP,1.4,3,1865.451643,3.210196539,0.969440223,1.43172E-05,1.793863049
24-3,,0,EM,LE,SUP,1.4,4,1605.273719,2.606439658,1.008738227,6.37369E-06,1.615387655
24-3,,0,EM,LE,SUP,1.6,1,1530.753177,2.53536126,1.080803249,7.92238E-06,1.662116523
24-3,,0,EM,LE,SUP,1.6,2,1939.391483,3.141778005,1.00054966,1.31532E-05,1.927622883
24-3,,0,EM,LE,SUP,1.6,3,1825.957661,3.142331277,0.97531912,1.74111E-05,1.755487056
24-3,,0,EM,LE,SUP,1.6,4,1655.967138,2.720913423,0.996756358,1.03763E-05,1.637119313
24-3,,0,EM,LE,SUP,1.8,1,1560.583931,2.647656475,1.082416554,1.33153E-05,1.725470901
24-3,,0,EM,LE,SUP,1.8,2,1927.438991,3.198299604,1.016387006,1.08477E-05,1.963223592
24-3,,0,EM,LE,SUP,1.8,3,1798.835186,3.181720686,1.005067468,1.60869E-05,1.791607884
24-3,,0,EM,LE,SUP,1.8,4,1595.325182,2.645461457,1.03722336,1.08496E-05,1.650844596
24-3,,0,EM,LE,SUP,2,1,1647.451304,2.909044149,1.03615529,2.0648E-05,1.80509065
24-3,,0,EM,LE,SUP,2,2,1892.481385,3.247133005,1.019502188,1.0238E-05,1.936953382
24-3,,0,EM,LE,SUP,2,3,1774.978871,3.067181282,1.006865263,1.53227E-05,1.785511659
24-3,,0,EM,LE,SUP,2,4,1591.084791,2.630705174,1.03869969,8.62635E-06,1.650922217
24-3,,0,EM,LE,SUP,2.2,1,1731.289297,3.065856924,0.98903094,1.3008E-05,1.830735519
24-3,,0,EM,LE,SUP,2.2,2,1841.34393,3.252412971,1.053166241,1.02471E-05,1.948206321
24-3,,0,EM,LE,SUP,2.2,3,1709.497338,2.959551949,1.013181696,1.41128E-05,1.731658991
24-3,,0,EM,LE,SUP,2.2,4,1545.781814,2.482543345,1.031256836,7.76083E-06,1.592921821
39-2,1.43,0,EM,LE,SUP,4,1,1710.569751,2.687344662,0.951029767,7.30662E-06,1.58077413
39-2,1.43,0,EM,LE,SUP,4,2,2091.749131,3.137744999,0.934756149,1.37963E-05,1.823559298
39-2,1.43,0,EM,LE,SUP,4,3,2004.385784,3.267218046,0.995179385,9.97805E-06,1.690876109
39-2,1.43,0,EM,LE,SUP,4,4,1759.684054,2.736698152,0.947666704,3.56489E-06,1.563432703
39-2,-5.58,7.01,HM,RE,INF,4.8,1,1583.167438,2.478939937,0.990005645,8.62644E-06,1.559308669
39-2,-5.58,7.01,HM,RE,INF,4.8,2,1726.327287,2.801078914,0.951000701,1.04821E-05,1.621500091
39-2,-5.58,7.01,HM,RE,INF,4.8,3,1625.847304,2.558768387,0.968176583,6.68349E-06,1.572050543
39-2,-5.58,7.01,HM,RE,INF,4.8,4,1608.702787,2.522010351,0.977021912,4.78904E-06,1.561259048
9-1,6.33,0,EM,LE,INF,3.2,1,1555.919992,2.440614986,1.001373211,3.67721E-06,1.557203882
9-1,6.33,0,EM,LE,INF,3.2,2,1735.96325,2.771378169,0.94993177,1.2651E-05,1.592860172
9-1,6.33,0,EM,LE,INF,3.2,3,1795.422551,3.004618613,0.956280233,1.19683E-05,1.670792691
9-1,6.33,0,EM,LE,INF,3.2,4,1638.478425,2.625503915,0.976624769,7.33538E-06,1.594238054
9-1,6.33,0,EM,LE,INF,3.4,1,1602.455447,2.577768471,1.000833366,7.92219E-06,1.597944352
9-1,6.33,0,EM,LE,INF,3.4,2,1776.853947,2.898847935,0.950612203,1.12728E-05,1.629567236
9-1,6.33,0,EM,LE,INF,3.4,3,1685.453431,2.658460538,0.946914709,8.13527E-06,1.576203402
9-1,6.33,0,EM,LE,INF,3.4,4,1611.973985,2.609120283,0.997362249,5.71713E-06,1.610147927
9-1,6.33,0,EM,LE,INF,3.6,1,1571.464937,2.547475245,1.028180385,5.7434E-06,1.615715778
9-1,6.33,0,EM,LE,INF,3.6,2,1819.248948,3.007139844,0.949121456,1.28755E-05,1.650046426
9-1,6.33,0,EM,LE,INF,3.6,3,1775.999437,2.961755406,0.957871196,1.05727E-05,1.66646791
9-1,6.33,0,EM,LE,INF,3.6,4,1667.842285,2.655982374,0.961860549,7.10464E-06,1.590781125
9-1,6.33,0,EM,LE,INF,3.8,1,1583.35979,2.541379278,1.015661226,7.90474E-06,1.602027995
9-1,6.33,0,EM,LE,INF,3.8,2,1780.223752,2.963024989,0.95915462,1.15369E-05,1.661709063
9-1,6.33,0,EM,LE,INF,3.8,3,1668.930373,2.633069679,0.94979216,8.22048E-06,1.574835594
9-1,6.33,0,EM,LE,INF,3.8,4,1597.252691,2.57480508,1.005148989,5.37862E-06,1.600666689
9-1,6.33,0,EM,LE,SUP,2.4,1,1673.767087,2.651598381,0.952343516,8.49977E-06,1.572798404
9-1,6.33,0,EM,LE,SUP,2.4,2,1765.316801,2.915383099,0.991699421,1.55959E-05,1.650170014
9-1,6.33,0,EM,LE,SUP,2.4,3,1657.353169,2.690466035,0.999688301,9.4908E-06,1.621671708
9-1,6.33,0,EM,LE,SUP,2.4,4,1572.551392,2.517617317,1.015469316,8.44685E-06,1.595058999
9-1,6.33,0,EM,LE,SUP,4.4,1,1578.166932,2.505672169,1.002313257,8.33291E-06,1.575852585
9-1,6.33,0,EM,LE,SUP,4.4,2,1829.941732,3.099004258,0.946560903,1.63742E-05,1.69414305
