GP,Eye,Region,ROI,Layer,Z,K,alpha,c,rho
12-1,RE,SUP,4,2,1.587122102,2.708687662,9.9927E-06,1704.825218,0.946386629
12-1,RE,SUP,4,3,1.717938402,2.978919957,7.67421E-06,1732.153325,0.993099519
12-1,RE,SUP,4,4,1.596338985,2.515836335,7.80852E-06,1570.304413,1.017223572
12-1,RE,SUP,4.2,1,1.606928923,2.50354783,3.14059E-06,1546.117415,1.044895341
12-1,RE,SUP,4.2,2,1.690467896,2.967219675,7.2454E-06,1752.320637,0.974355783
12-1,RE,SUP,4.2,3,1.720914653,3.051759324,7.86181E-06,1772.07582,0.977677728
12-1,RE,SUP,4.2,4,1.622598803,2.675587418,9.04537E-06,1647.458898,0.985406229
12-1,RE,SUP,4.4,1,1.631391189,2.575211707,2.3756E-06,1573.244056,1.052165419
12-1,RE,SUP,4.4,2,1.654090623,2.969933994,9.34851E-06,1794.42697,0.951099105
12-1,RE,SUP,4.4,3,1.723317542,3.04897612,8.10084E-06,1767.712403,0.980689498
12-1,RE,SUP,4.4,4,1.581331102,2.554307378,6.9683E-06,1612.844606,0.981523273
12-1,RE,SUP,4.6,1,1.65733372,2.603882641,1.99395E-06,1569.441993,1.070562343
12-1,RE,SUP,4.6,2,1.669248277,3.139042229,1.07926E-05,1878.668269,0.948279914
12-1,RE,SUP,4.6,3,1.67217414,2.975224888,1.05108E-05,1777.435768,0.954447941
12-1,RE,SUP,4.6,4,1.597327478,2.614994146,9.7708E-06,1634.377923,0.979661348
12-1,RE,INF,2,1,1.781348615,2.997952448,2.39129E-05,1834.109885,1.058130516
12-1,RE,INF,2,2,1.764480684,2.90299511,1.44018E-05,1656.710055,1.066773083
12-1,RE,INF,2,3,1.640896734,2.546954336,1.57872E-05,1544.724866,1.059252094
12-1,RE,INF,2,4,1.664648051,2.504175588,3.96179E-06,1497.439347,1.090822126
12-1,RE,SUP,2,1,1.590769445,2.510884082,8.4576E-06,1564.163818,1.018881637
12-1,RE,SUP,2,2,1.634698588,2.795984557,1.56559E-05,1707.698789,0.970065415
12-1,RE,SUP,2,3,1.645542344,2.723499796,1.28142E-05,1648.312688,0.998713637
12-1,RE,SUP,2,4,1.594390724,2.487022444,5.38838E-06,1556.561453,1.025213511
12-1,RE,SUP,2.2,1,1.62499428,2.636976729,9.78365E-06,1614.70633,1.019629406
12-1,RE,SUP,2.2,2,1.670572312,2.895507755,1.50622E-05,1735.412624,0.96842747
12-1,RE,SUP,2.2,3,1.65859837,2.739458806,1.20873E-05,1647.375859,1.007922988
12-1,RE,SUP,2.2,4,1.661358231,2.701866387,7.3607E-06,1623.065983,1.023349823
12-1,RE,INF,1.6,1,1.630195702,2.536656907,7.19612E-06,1532.572175,1.058537693
12-1,RE,INF,1.6,2,1.720937821,3.058540904,1.48216E-05,1777.197874,0.974068779
12-1,RE,INF,1.6,3,1.706643274,2.993134627,1.21204E-05,1751.438562,0.981441528
12-1,RE,INF,1.6,4,1.586550408,2.546575867,6.24091E-06,1599.72391,0.992580978
12-1,RE,INF,1.8,1,1.607261714,2.536409869,6.28245E-06,1567.566858,1.025848551
12-1,RE,INF,1.8,2,1.759004577,3.210027733,1.27488E-05,1831.629564,0.969325189
12-1,RE,INF,1.8,3,1.694852704,2.959721927,1.0972E-05,1743.634155,0.985805368
12-1,RE,INF,1.8,4,1.584181667,2.500549624,6.1414E-06,1575.683358,1.005728488
12-1,RE,INF,2,1,1.603631116,2.503040869,5.72876E-06,1545.294426,1.037903725
12-1,RE,INF,2,2,1.730209643,3.125570011,1.37801E-05,1803.943066,0.979889163
12-1,RE,INF,2,3,1.677663248,2.933090941,1.0664E-05,1746.413418,0.974228893
12-1,RE,INF,2,4,1.59627532,2.509931255,5.62234E-06,1570.702279,1.016872386
12-1,RE,INF,2.2,1,1.629036817,2.614140509,1.1457E-05,1601.384928,1.024946081
12-1,RE,INF,2.2,2,1.802776416,3.2272057,1.01834E-05,1829.561482,0.987057526
12-1,RE,INF,2.2,3,1.640631177,2.71685517,7.28107E-06,1654.644322,0.99298544
12-1,RE,INF,2.2,4,1.574092048,2.446327488,4.75462E-06,1537.934942,1.022677464
12-2,LE,SUP,3.8,1,1.563145048,2.40578057,5.88322E-06,1531.620228,1.019474666
12-2,LE,SUP,3.8,2,1.671696864,2.977344363,1.4277E-05,1777.009808,0.961616364
12-2,LE,SUP,3.8,3,1.70370731,3.136517161,1.78894E-05,1863.384899,0.952719802
12-2,LE,SUP,3.8,4,1.56228719,2.479587424,5.21792E-06,1582.751119,0.993702912
12-2,LE,SUP,4,1,1.576082952,2.405531822,3.20228E-06,1519.94531,1.035175443
12-2,LE,SUP,4,2,1.783430412,3.216712559,9.58916E-06,1845.082045,0.97957064
12-2,LE,SUP,4,3,1.791989384,3.112597266,9.89659E-06,1834.357887,0.983270676
12-2,LE,SUP,4,4,1.581297241,2.48797558,5.02504E-06,1562.759564,1.012783284
12-2,LE,SUP,4.2,1,1.616234263,2.495479768,4.55556E-06,1534.786822,1.05652201
12-2,LE,SUP,4.2,2,1.772193918,3.237739214,7.40266E-06,1830.624908,0.985091642
12-2,LE,SUP,4.2,3,1.855601827,3.342127943,1.14047E-05,1859.034872,0.998962554
12-2,LE,SUP,4.2,4,1.598153835,2.529467645,5.97074E-06,1566.248226,1.021713698
12-2,LE,SUP,4.4,1,1.591189615,2.441769102,1.06594E-05,1527.254181,1.041682031
12-2,LE,SUP,4.4,2,1.706180681,3.042966067,1.19346E-05,1779.616524,0.972103362
12-2,LE,SUP,4.4,3,1.834816347,3.321267556,1.19799E-05,1857.785005,0.990989937
12-2,LE,SUP,4.4,4,1.607808189,2.657771437,8.63497E-06,1623.431385,0.997278882
12-2,LE,SUP,4.6,1,1.591593503,2.433323404,7.78989E-06,1504.657033,1.055430826
12-2,LE,SUP,4.6,2,1.773058856,3.114704568,1.02791E-05,1790.271042,0.994788057
12-2,LE,SUP,4.6,3,1.801100798,3.248199684,1.23654E-05,1822.841544,0.990227641
12-2,LE,SUP,4.6,4,1.640063729,2.691367515,1.08573E-05,1624.149859,1.007792152
12-4,LE,INF,1.6,1,1.622825526,2.591882546,6.62652E-06,1569.413157,1.037282191
12-4,LE,INF,1.6,2,1.698524233,2.930631304,1.30893E-05,1723.526298,0.993692417
12-4,LE,INF,1.6,3,1.605485351,2.560423952,9.86136E-06,1586.162264,1.012778813
12-4,LE,INF,1.6,4,1.575056331,2.512151688,6.9721E-06,1593.400668,0.989482412
12-4,LE,INF,2,1,1.612569583,2.566134965,2.06863E-05,1585.265444,1.04102234
12-4,LE,INF,2,2,1.656070567,2.706675533,1.26869E-05,1626.491475,1.019467319
12-4,LE,INF,2,3,1.584878196,2.456972909,5.77865E-06,1542.994718,1.027964856
12-4,LE,INF,2,4,1.565881012,2.397666542,3.50883E-06,1520.71355,1.027264462
12-4,RE,INF,1.2,1,1.64545189,2.563526775,5.59745E-06,1542.157793,1.064055605
12-4,RE,INF,1.2,2,1.72277621,3.080748079,1.45392E-05,1787.319595,0.980023769
12-4,RE,INF,1.2,3,1.642044231,2.757382436,1.31336E-05,1677.220057,0.992374706
12-4,RE,INF,1.2,4,1.601935612,2.499680395,9.5204E-06,1556.271579,1.030490979
12-4,RE,INF,1.4,1,1.686299868,2.685074225,1.11154E-05,1580.409639,1.067496596
12-4,RE,INF,1.4,2,1.772263864,3.1972266,1.11999E-05,1808.34534,0.994226902
12-4,RE,INF,1.4,3,1.638597373,2.760536968,1.33909E-05,1683.194807,0.991037699
12-4,RE,INF,1.4,4,1.599897409,2.533824578,1.06923E-05,1578.500562,1.015240351
12-4,RE,INF,1.6,1,1.651756777,2.550882065,7.61396E-06,1540.210919,1.076468155
12-4,RE,INF,1.6,2,1.670489502,3.004822264,1.40895E-05,1796.248142,0.969387118
12-4,RE,INF,1.6,3,1.627860881,2.773447249,1.33809E-05,1702.814761,0.986958363
12-4,RE,INF,1.6,4,1.596618148,2.508548611,8.21301E-06,1565.385171,1.027609422
12-4,RE,INF,1.8,1,1.663219636,2.596908963,5.13321E-06,1550.527664,1.068993013
12-4,RE,INF,1.8,2,1.663522282,2.987531763,1.31687E-05,1793.134773,0.960223658
12-4,RE,INF,1.8,3,1.647286549,2.77853975,1.33826E-05,1684.696552,0.981641716
12-4,RE,INF,1.8,4,1.588547211,2.437600519,8.01143E-06,1527.080931,1.039922362
12-4,RE,INF,2,1,1.683288179,2.685265064,6.99086E-06,1592.347773,1.044838086
12-4,RE,INF,2,2,1.691174288,3.014821387,1.14295E-05,1779.860317,0.968341426
12-4,RE,INF,2,3,1.646822698,2.774338954,1.25644E-05,1682.933914,0.983877878
12-4,RE,INF,2,4,1.578690245,2.436855559,5.58069E-06,1539.119097,1.025641443
12-4,RE,INF,2.2,1,1.671069396,2.563266826,6.81861E-06,1528.339346,1.085215387
12-4,RE,INF,2.2,2,1.738794713,3.200306781,1.16781E-05,1844.064219,0.97540096
12-4,RE,INF,2.2,3,1.626573613,2.861298956,1.31916E-05,1757.352399,0.950440332
12-4,RE,INF,2.2,4,1.595969385,2.571504369,8.55146E-06,1606.621627,0.996303001
12-4,RE,INF,2.4,1,1.635976824,2.580005241,6.47022E-06,1557.170314,1.050453029
12-4,RE,INF,2.4,2,1.710592398,3.148823082,1.36568E-05,1858.050007,0.966482059
12-4,RE,INF,2.4,3,1.621146545,2.845127947,1.19806E-05,1751.768568,0.95060865
12-4,RE,INF,2.4,4,1.587469522,2.555409442,7.30423E-06,1607.824447,0.990833556
12-4,RE,SUP,1.8,1,1.613409496,2.616433604,7.17132E-06,1618.312897,1.015230549
12-4,RE,SUP,1.8,2,1.676841883,3.012837483,1.53421E-05,1795.771696,0.9605902
12-4,RE,SUP,1.8,3,1.634271859,2.732598432,1.27973E-05,1670.15167,0.980162765
12-4,RE,SUP,1.8,4,1.598774027,2.608568686,6.76592E-06,1630.148749,0.981280298
12-4,RE,SUP,2,1,1.643212662,2.608754253,5.43939E-06,1574.473598,1.040465737
12-4,RE,SUP,2,2,1.724038991,3.073378406,1.43553E-05,1781.983581,0.969939278
12-4,RE,SUP,2,3,1.652278279,2.869726763,1.20711E-05,1735.363444,0.96392443
12-4,RE,SUP,2,4,1.635360672,2.747130031,1.21574E-05,1678.658594,0.974902485
12-4,RE,SUP,2.2,1,1.621705912,2.611441408,5.56733E-06,1605.545965,1.009592465
12-4,RE,SUP,2.2,2,1.719599624,3.09731313,1.53877E-05,1799.153835,0.960943057
12-4,RE,SUP,2.2,3,1.65742707,2.873097372,1.10872E-05,1732.760203,0.959669823
12-4,RE,SUP,2.2,4,1.562036746,2.580392314,6.63269E-06,1649.86952,0.95193214
12-4,RE,INF,1.4,1,1.671433232,2.62099503,7.41822E-06,1555.853845,1.070881457
12-4,RE,INF,1.4,2,1.688067236,2.980383379,1.41739E-05,1764.357603,0.974634852
12-4,RE,INF,1.4,3,1.631704266,2.804768883,1.30654E-05,1717.061998,0.969606718
12-4,RE,INF,1.4,4,1.553549017,2.405065382,3.0995E-06,1545.194686,1.005411821
12-4,RE,INF,1.6,1,1.634104814,2.548451594,7.85518E-06,1543.497836,1.056851496
12-4,RE,INF,1.6,2,1.742289653,3.140098594,1.21172E-05,1808.614743,0.976350497
12-4,RE,INF,1.6,3,1.634768289,2.850897224,1.31741E-05,1743.300939,0.961703622
12-4,RE,INF,1.6,4,1.567691953,2.429816161,4.09912E-06,1546.812291,1.013554653
12-4,RE,INF,1.8,1,1.628590904,2.526967553,7.78007E-06,1544.479019,1.058023734
12-4,RE,INF,1.8,2,1.678032507,3.018588112,1.57592E-05,1801.877913,0.963421835
12-4,RE,INF,1.8,3,1.613775236,2.773881572,1.26296E-05,1716.877489,0.963068745
12-4,RE,INF,1.8,4,1.559239109,2.437003696,4.30314E-06,1561.800242,0.999271443
12-4,RE,SUP,2,1,1.610352488,2.730449728,6.29891E-06,1697.337832,0.966406642
12-4,RE,SUP,2,2,1.629119173,3.041618505,1.3271E-05,1872.280131,0.938404465
12-4,RE,SUP,2,3,1.586186739,2.777863511,6.4268E-06,1752.490063,0.932673599
12-4,RE,SUP,2,4,1.550408232,2.664670214,3.35175E-06,1717.079791,0.931050101
12-4,RE,SUP,2.2,1,1.604427294,2.74133528,5.1853E-06,1705.137326,0.963490956
12-4,RE,SUP,2.2,2,1.615180727,3.00779095,1.3241E-05,1860.397372,0.93842718
12-4,RE,SUP,2.2,3,1.57755513,2.829032258,8.01944E-06,1791.845623,0.936968014
12-4,RE,SUP,2.2,4,1.565660501,2.675196041,4.17151E-06,1706.923109,0.946090417
24-3,LE,INF,2.2,1,1.56288245,2.576771046,5.38143E-06,1648.637916,0.959286745
24-3,LE,INF,2.2,2,1.874736845,3.012112691,9.05302E-06,2015.782221,0.952073735
24-3,LE,INF,2.2,3,1.681706351,3.177435113,8.06905E-06,1907.760879,0.937135381
24-3,LE,INF,2.2,4,1.611687222,2.70437564,4.81371E-06,1674.643207,0.970269488
24-3,LE,SUP,1.2,1,1.6116214,2.549084679,8.81404E-06,1597.964404,1.00928278
24-3,LE,SUP,1.2,2,1.922414838,3.331931095,1.14833E-05,2020.359419,0.966686361
24-3,LE,SUP,1.2,3,1.761368476,3.197408237,1.57234E-05,1889.50121,0.957167699
24-3,LE,SUP,1.2,4,1.61998498,2.705677311,8.78181E-06,1666.32689,1.011299516
24-3,LE,SUP,1.4,1,1.609594184,2.481033917,7.98976E-06,1539.816846,1.043150377
24-3,LE,SUP,1.4,2,1.936989063,3.146406347,1.23907E-05,1982.486572,0.984542594
24-3,LE,SUP,1.4,3,1.793863049,3.210196539,1.43172E-05,1865.451643,0.969440223
24-3,LE,SUP,1.4,4,1.615387655,2.606439658,6.37369E-06,1605.273719,1.008738227
24-3,LE,SUP,1.6,1,1.662116523,2.53536126,7.92238E-06,1530.753177,1.080803249
24-3,LE,SUP,1.6,2,1.927622883,3.141778005,1.31532E-05,1939.391483,1.00054966
24-3,LE,SUP,1.6,3,1.755487056,3.142331277,1.74111E-05,1825.957661,0.97531912
24-3,LE,SUP,1.6,4,1.637119313,2.720913423,1.03763E-05,1655.967138,0.996756358
24-3,LE,SUP,1.8,1,1.725470901,2.647656475,1.33153E-05,1560.583931,1.082416554
24-3,LE,SUP,1.8,2,1.963223592,3.198299604,1.08477E-05,1927.438991,1.016387006
24-3,LE,SUP,1.8,3,1.791607884,3.181720686,1.60869E-05,1798.835186,1.005067468
24-3,LE,SUP,1.8,4,1.650844596,2.645461457,1.08496E-05,1595.325182,1.03722336
24-3,LE,SUP,2,1,1.80509065,2.909044149,2.0648E-05,1647.451304,1.03615529
24-3,LE,SUP,2,2,1.936953382,3.247133005,1.0238E-05,1892.481385,1.019502188
24-3,LE,SUP,2,3,1.785511659,3.067181282,1.53227E-05,1774.978871,1.006865263
24-3,LE,SUP,2,4,1.650922217,2.630705174,8.62635E-06,1591.084791,1.03869969
24-3,LE,SUP,2.2,1,1.830735519,3.065856924,1.3008E-05,1731.289297,0.98903094
24-3,LE,SUP,2.2,2,1.948206321,3.252412971,1.02471E-05,1841.34393,1.053166241
24-3,LE,SUP,2.2,3,1.731658991,2.959551949,1.41128E-05,1709.497338,1.013181696
24-3,LE,SUP,2.2,4,1.592921821,2.482543345,7.76083E-06,1545.781814,1.031256836
39-2,LE,SUP,4,1,1.58077413,2.687344662,7.30662E-06,1710.569751,0.951029767
39-2,LE,SUP,4,2,1.823559298,3.137744999,1.37963E-05,2091.749131,0.934756149
39-2,LE,SUP,4,3,1.690876109,3.267218046,9.97805E-06,2004.385784,0.995179385
39-2,LE,SUP,4,4,1.563432703,2.736698152,3.56489E-06,1759.684054,0.947666704
39-2,RE,INF,4.8,1,1.559308669,2.478939937,8.62644E-06,1583.167438,0.990005645
39-2,RE,INF,4.8,2,1.621500091,2.801078914,1.04821E-05,1726.327287,0.951000701
39-2,RE,INF,4.8,3,1.572050543,2.558768387,6.68349E-06,1625.847304,0.968176583
39-2,RE,INF,4.8,4,1.561259048,2.522010351,4.78904E-06,1608.702787,0.977021912
9-1,LE,INF,3.2,1,1.557203882,2.440614986,3.67721E-06,1555.919992,1.001373211
9-1,LE,INF,3.2,2,1.592860172,2.771378169,1.2651E-05,1735.96325,0.94993177
9-1,LE,INF,3.2,3,1.670792691,3.004618613,1.19683E-05,1795.422551,0.956280233
9-1,LE,INF,3.2,4,1.594238054,2.625503915,7.33538E-06,1638.478425,0.976624769
9-1,LE,INF,3.4,1,1.597944352,2.577768471,7.92219E-06,1602.455447,1.000833366
9-1,LE,INF,3.4,2,1.629567236,2.898847935,1.12728E-05,1776.853947,0.950612203
9-1,LE,INF,3.4,3,1.576203402,2.658460538,8.13527E-06,1685.453431,0.946914709
9-1,LE,INF,3.4,4,1.610147927,2.609120283,5.71713E-06,1611.973985,0.997362249
9-1,LE,INF,3.6,1,1.615715778,2.547475245,5.7434E-06,1571.464937,1.028180385
9-1,LE,INF,3.6,2,1.650046426,3.007139844,1.28755E-05,1819.248948,0.949121456
9-1,LE,INF,3.6,3,1.66646791,2.961755406,1.05727E-05,1775.999437,0.957871196
9-1,LE,INF,3.6,4,1.590781125,2.655982374,7.10464E-06,1667.842285,0.961860549
9-1,LE,INF,3.8,1,1.602027995,2.541379278,7.90474E-06,1583.35979,1.015661226
9-1,LE,INF,3.8,2,1.661709063,2.963024989,1.15369E-05,1780.223752,0.95915462
9-1,LE,INF,3.8,3,1.574835594,2.633069679,8.22048E-06,1668.930373,0.94979216
9-1,LE,INF,3.8,4,1.600666689,2.57480508,5.37862E-06,1597.252691,1.005148989
9-1,LE,SUP,2.4,1,1.572798404,2.651598381,8.49977E-06,1673.767087,0.952343516
9-1,LE,SUP,2.4,2,1.650170014,2.915383099,1.55959E-05,1765.316801,0.991699421
9-1,LE,SUP,2.4,3,1.621671708,2.690466035,9.4908E-06,1657.353169,0.999688301
9-1,LE,SUP,2.4,4,1.595058999,2.517617317,8.44685E-06,1572.551392,1.015469316
9-1,LE,SUP,4.4,1,1.575852585,2.505672169,8.33291E-06,1578.166932,1.002313257
9-1,LE,SUP,4.4,2,1.69414305,3.099004258,1.63742E-05,1829.941732,0.946560903
9-1,LE,SUP,4.4,3,1.606190019,2.786835568,1.31516E-05,1731.47875,0.950782293
9-1,LE,SUP,4.4,4,1.555870717,2.451349307,3.02279E-06,1572.424588,0.990923658
9-1,RE,INF,2,1,1.560199327,2.430041691,7.14027E-06,1514.979565,1.0297428
9-1,RE,INF,2,2,1.581804948,2.526313539,9.48803E-06,1588.252359,0.995990663
9-1,RE,INF,2,3,1.654469062,2.737589796,9.07238E-06,1651.766665,1.002153365
9-1,RE,INF,2,4,1.617521708,2.626282588,7.97467E-06,1615.693319,1.00147135
9-1,RE,INF,2.2,1,1.563463288,2.479698632,2.09627E-06,1506.695311,1.029497975
9-1,RE,INF,2.2,2,1.62612819,2.706001146,9.00818E-06,1654.304776,0.984618514
9-1,RE,INF,2.2,3,1.617202767,2.672861179,8.23738E-06,1649.494521,0.979877095
9-1,RE,INF,2.2,4,1.605843991,2.620759894,6.01909E-06,1613.9177,0.99358764
9-1,RE,INF,2.4,1,1.567450198,2.432761689,1.99501E-06,1514.057709,1.028312249
9-1,RE,INF,2.4,2,1.584447168,2.662972917,8.28945E-06,1676.271186,0.956257372
9-1,RE,INF,2.4,3,1.678179938,2.924064988,1.13532E-05,1740.989197,0.969068297
9-1,RE,INF,2.4,4,1.583867567,2.602999527,6.69871E-06,1638.618237,0.968156208
9-1,RE,INF,2.6,1,1.575256465,2.44463781,1.42462E-06,1522.210648,1.032490504
9-1,RE,INF,2.6,2,1.609566389,2.773568774,9.67647E-06,1717.480338,0.955301616
9-1,RE,INF,2.6,3,1.665372782,2.841821961,8.4395E-06,1704.997348,0.979087726
9-1,RE,INF,2.6,4,1.568715525,2.500507956,4.16267E-06,1578.151806,0.995139469
9-1,RE,INF,2,1,1.587064692,2.481782686,1.38036E-05,1544.3963,1.031461357
9-1,RE,INF,2,2,1.653097448,2.731672304,1.38962E-05,1648.994434,1.001548714
9-1,RE,INF,2,3,1.617843183,2.553148486,9.56675E-06,1566.966348,1.032899681
9-1,RE,INF,2,4,1.645803774,2.511621048,8.52605E-06,1522.338823,1.079388204
9-1,RE,INF,2,1,1.642451034,2.881950318,1.67365E-05,1747.426559,0.965700899
9-1,RE,INF,2,2,1.779485454,3.230184302,1.20314E-05,1874.0416,0.973472374
9-1,RE,INF,2,3,1.674589658,2.957821301,9.46826E-06,1763.997449,0.961013619
9-1,RE,INF,2,4,1.607914427,2.57937542,4.98287E-06,1586.685735,1.012421664
9-1,RE,INF,2.2,1,1.548095068,2.458205161,4.96644E-06,1555.765415,1.001678867
9-1,RE,INF,2.2,2,1.753336173,3.158342904,1.51648E-05,1913.775222,0.95591558
9-1,RE,INF,2.2,3,1.668128705,2.978071086,8.64517E-06,1783.372906,0.968661524
9-1,RE,INF,2.2,4,1.600323787,2.580929306,5.96361E-06,1603.341304,1.003141339
9-2,RE,INF,2.1,1,1.628941813,2.570403747,2.25875E-05,1565.590138,1.03965736
9-2,RE,INF,2.1,2,1.696681951,2.698266114,1.11404E-05,1588.519659,1.062065955
9-2,RE,INF,2.1,3,1.618069493,2.4660119,6.57595E-06,1515.97199,1.062194568
9-2,RE,INF,2.1,4,1.630543287,2.439378735,1.18275E-05,1490.744925,1.093848671
9-2,RE,SUP,2.3,1,1.56941431,2.473072077,4.55423E-06,1570.260949,0.997913443
9-2,RE,SUP,2.3,2,1.728670866,3.044620836,1.32125E-05,1792.548498,0.974142746
9-2,RE,SUP,2.3,3,1.598362856,2.707471429,6.82361E-06,1689.951025,0.955138159
9-2,RE,SUP,2.3,4,1.566923734,2.507484662,2.45109E-06,1598.338624,0.977882867
