GP,Eye,Region,ROI,Layer,Z,K,alpha,c,rho
11-3,LE,SUP,4.4,2,1.894490079,3.350541809,9.516E-06,1855.106598,1.019724487
11-3,LE,SUP,4.4,3,1.744496575,2.956371379,9.71761E-06,1693.787173,1.031597726
11-3,LE,SUP,4.4,4,1.606652541,2.493661053,1.30066E-05,1534.452845,1.045764105
11-3,LE,INF,1.4,1,1.541315955,2.495021043,6.4638E-06,1589.282878,0.997698484
11-3,LE,INF,1.4,2,1.576225454,2.75187847,1.17395E-05,1745.92264,0.956887803
11-3,LE,INF,1.4,3,1.615878052,2.647635227,1.04426E-05,1632.113879,0.994201803
11-3,LE,INF,1.4,4,1.589324991,2.616774054,7.73041E-06,1643.803163,0.973824565
11-3,LE,INF,1.6,1,1.567230041,2.538923738,8.98763E-06,1598.543192,1.00653437
11-3,LE,INF,1.6,2,1.580287974,2.761741339,1.13858E-05,1745.870648,0.971562183
11-3,LE,INF,1.6,3,1.613748058,2.661133213,1.05314E-05,1643.66836,0.98973031
11-3,LE,INF,1.6,4,1.577174991,2.501620945,5.01147E-06,1579.835604,0.998952818
11-3,LE,INF,1.8,1,1.592292117,2.567343829,9.48992E-06,1584.342863,1.017522345
11-3,LE,INF,1.8,2,1.655720512,2.898278852,1.33093E-05,1750.193725,0.982367018
11-3,LE,INF,1.8,3,1.624306158,2.699638099,1.234E-05,1658.580868,0.981245376
11-3,LE,INF,1.8,4,1.567046731,2.489880454,4.79707E-06,1585.139944,0.989818791
11-3,LE,INF,2,1,1.657075111,2.707683571,1.41011E-05,1583.682948,1.062968549
11-3,LE,INF,2,2,1.685444988,2.973937919,1.22556E-05,1768.04886,0.970202761
11-3,LE,INF,2,3,1.612033891,2.671516991,1.14409E-05,1649.030699,0.981437232
11-3,LE,INF,2,4,1.574212708,2.48730765,5.97625E-06,1561.397728,1.0075436
11-3,LE,SUP,2,1,1.579881154,2.543583725,6.55303E-06,1607.421133,0.995257635
11-3,LE,SUP,2,2,1.691037968,3.034378233,1.19293E-05,1807.909898,0.966095125
11-3,LE,SUP,2,3,1.569904,2.521577215,5.01086E-06,1601.413051,0.982882594
11-3,LE,SUP,2,4,1.565406652,2.491265772,4.0597E-06,1589.193262,0.985883944
11-3,LE,SUP,2.2,1,1.581947135,2.547989885,8.25549E-06,1607.950995,1.007443148
11-3,LE,SUP,2.2,2,1.624576828,2.834248602,1.01678E-05,1745.652111,0.970115442
11-3,LE,SUP,2.2,3,1.573951645,2.511921568,5.39129E-06,1592.922055,0.987760318
11-3,LE,SUP,2.2,4,1.571515768,2.50881716,4.9742E-06,1593.69237,0.986673976
11-3,LE,SUP,2.4,1,1.551339633,2.549175191,9.22104E-06,1634.064831,0.996433933
11-3,LE,SUP,2.4,2,1.607197781,2.810517209,9.53349E-06,1746.652003,0.964284473
11-3,LE,SUP,2.4,3,1.561983874,2.511570524,5.12194E-06,1603.751015,0.97419255
11-3,LE,SUP,2.4,4,1.570431957,2.543960172,5.09121E-06,1618.010494,0.973052365
11-3,RE,INF,1.8,1,1.624820696,2.524023047,4.90948E-07,1491.924333,1.075792675
11-3,RE,INF,1.8,2,1.599920793,2.708196168,7.78024E-06,1680.434921,1.042305588
11-3,RE,INF,1.8,3,1.673649577,2.981806533,9.14234E-06,1784.894535,0.975903639
11-3,RE,INF,1.8,4,1.74425303,3.102281151,7.54622E-06,1780.400811,0.984865088
11-3,RE,INF,2,1,1.612558579,2.527818216,1.03648E-05,1553.86622,1.049257413
11-3,RE,INF,2,2,1.593734518,2.90873505,1.2541E-05,1826.395103,0.970529223
11-3,RE,INF,2,3,1.668823414,2.941291733,9.22023E-06,1761.947383,0.963436255
11-3,RE,INF,2,4,1.612692602,2.553310334,7.94511E-06,1576.176455,1.017394221
11-3,RE,INF,2.2,1,1.684976914,3.064039876,1.17217E-05,1833.696509,1.009093647
11-3,RE,INF,2.2,2,1.681042214,3.039333458,1.08128E-05,1809.231102,0.961380775
11-3,RE,INF,2.2,3,1.63160906,2.705152039,9.26936E-06,1640.68698,0.999104153
11-3,RE,INF,2.2,4,1.618643116,2.546870339,1.553E-06,1530.983895,1.051575237
11-3,RE,INF,2.8,1,1.598645422,2.413018286,1.51134E-06,1498.071788,1.060646626
11-3,RE,INF,2.8,2,1.634515072,2.639973728,8.27301E-06,1604.029021,1.019559246
11-3,RE,INF,2.8,3,1.714965213,3.018808456,9.74327E-06,1762.505519,0.984065837
11-3,RE,INF,2.8,4,1.699129175,2.990947169,8.49089E-06,1758.88128,0.98274784
11-3,RE,INF,3,1,1.714980154,2.84170612,7.31504E-06,1651.295265,1.036409859
11-3,RE,INF,3,2,1.765268556,3.144292038,9.47836E-06,1786.654685,0.990807613
11-3,RE,INF,3,3,1.655085755,2.866611304,1.09618E-05,1728.789502,0.973830217
11-3,RE,INF,3,4,1.590808246,2.556476902,4.96774E-06,1605.842159,0.99331634
11-3,RE,INF,3.2,1,1.742271845,3.074316648,8.01301E-06,1765.779525,0.990380434
11-3,RE,INF,3.2,2,1.666995829,2.910465953,9.20654E-06,1744.212932,0.972390769
11-3,RE,INF,3.2,3,1.622506828,2.575182263,7.45436E-06,1581.356184,1.022654538
11-3,RE,INF,3.2,4,1.580335279,2.555026611,1.2255E-06,1611.295745,0.985404035
11-3,RE,INF,3.4,1,1.696926788,2.962138507,9.6346E-06,1742.283959,0.998065485
11-3,RE,INF,3.4,2,1.685979719,2.982022479,1.16771E-05,1767.299724,0.967102251
11-3,RE,INF,3.4,3,1.635336057,2.702004556,9.31309E-06,1643.989622,0.995798085
11-3,RE,INF,3.4,4,1.618410503,2.658345338,3.75428E-06,1626.427736,0.995726154
11-3,RE,INF,3.6,1,1.587123066,2.419974135,1.30594E-06,1494.544397,1.047499597
11-3,RE,INF,3.6,2,1.661348558,2.553844686,4.83653E-06,1522.749558,1.072512458
11-3,RE,INF,3.6,3,1.752640099,3.056653507,9.66787E-06,1743.722085,1.004494783
11-3,RE,INF,3.6,4,1.735268061,3.123296402,1.10916E-05,1798.106648,0.982979955
11-3,RE,INF,3.8,1,1.6340815,2.469331538,4.14163E-06,1495.079782,1.074846957
11-3,RE,INF,3.8,2,1.750545623,2.952535902,8.17446E-06,1685.159195,1.0242021
11-3,RE,INF,3.8,3,1.844138732,3.239910607,7.93052E-06,1769.593648,1.041494563
11-3,RE,INF,3.8,4,1.683082295,2.902615316,1.21421E-05,1729.470624,0.977943574
11-3,RE,INF,4,1,1.700717408,2.530982888,6.12185E-07,1488.161696,1.132471852
11-3,RE,INF,4,2,1.738568347,2.704533055,7.88265E-06,1555.77431,1.062960224
11-3,RE,INF,4,3,1.740681178,2.881534094,9.49579E-06,1653.500372,1.018240049
11-3,RE,INF,4,4,1.765341981,3.057655806,1.04742E-05,1731.716552,1.020617926
11-3,RE,INF,4.2,1,1.709816001,2.707165428,1.10923E-05,1592.713986,1.018953752
