Eye,Region,ROI,Layer,Angle,Width,Length,Straightness
LE,INF,1,1,-85.7409097610563,7.28018159091473,752.302421757573,0.947636895494547
LE,INF,1,1,-79.4761924892333,7.04158493099005,335.831336887091,0.965183482093907
LE,INF,1,1,-79.8558700226356,5.94127730528514,67.7582121760084,0.979514835069402
LE,INF,1,1,-7.2761720414852,6.60201712449392,35.2978405742798,0.981800765670039
LE,INF,1,1,-69.7280515960917,6.6634414990743,110.578957607801,0.965264995188716
LE,INF,1,1,-56.267169041949,7.43066546320915,79.5770578505,0.975417734432015
LE,INF,1,1,-58.3973579377845,4.31496107578278,40.6636060557872,0.972862092836324
LE,INF,1,1,-12.4824086331789,6.92351013422012,34.9730875185762,0.990917570086409
LE,INF,1,1,-79.8558700226359,7.59432673454285,66.8012531471591,0.930055879807675
LE,INF,1,1,-80.3855493027003,6.79966032827223,135.870760463384,0.925744113359412
LE,INF,1,1,-61.9650306608196,4.38046845367977,47.9255376540849,0.969974662197985
LE,INF,1,1,-24.3889360425366,6.93108878135681,46.5005741190967,0.950613471940921
LE,INF,1,1,-80.3855493027003,5.54336181879044,34.2797245297183,0.963110074289435
LE,INF,1,1,-65.3233488595745,6.74669240415096,103.585612891171,0.94966608938142
LE,INF,1,1,10.1441299773644,5.9346248886802,30.0141688226653,0.983856867566075
LE,INF,1,1,-83.4804667189927,7.25746751175477,385.83030867026,0.965832071622569
LE,INF,1,1,-52.0755536584789,5.78784262217008,85.6163442624923,0.946369391192456
LE,INF,1,1,-14.9160180381379,5.64982739516667,35.2867913774534,0.962699474133306
LE,INF,1,1,-8.69368137924594,5.63841869831085,66.8672078302954,0.835475455108544
LE,INF,1,1,-57.4028854386781,4.52656563690731,36.1441598470868,0.966366310378111
LE,INF,1,1,-69.6338925712489,5.10802800456683,35.7709709813616,0.956229641370282
LE,INF,1,1,-15.1367993105648,6.18683815002441,30.5311860463137,0.973828447068365
LE,INF,1,1,-68.5335882010273,7.36570277810097,136.713225363668,0.952862842708381
LE,INF,1,1,7.61003067761166,5.34185650348663,35.0454374971034,0.885026042009184
LE,INF,1,1,-59.5588186024743,5.94466618696849,34.4878408054908,0.889464883387889
LE,INF,1,1,-85.7409097610563,3.7098206654191,36.2064910194209,0.913111146062169
LE,INF,1,1,-85.7409097610563,6.84156727790833,34.0165608385095,0.823653266573773
LE,INF,1,1,-85.7409097610643,8.23215383496778,224.5881127225,0.964395574215071
LE,INF,1,1,-67.187377500671,5.93562513239243,57.5798486997755,0.964621782832364
LE,INF,1,1,4.25909023893985,4.59465905189514,66.1905151472325,0.969852179576218
LE,INF,1,1,-67.9910456261514,6.79870300943201,157.905621088607,0.975451139393334
LE,INF,1,1,-70.7225123749027,4.90386852763948,53.6931840664445,0.913162509190187
LE,INF,1,1,-74.8039331361367,4.37939944437572,36.87323474331,0.963044388601468
LE,INF,1,1,-85.7409097610601,5.00465049241719,48.5692988107334,0.947324120543848
LE,INF,1,1,4.25909023893989,5.54184169769287,30.4679273374327,0.971979008021917
LE,INF,1,1,-85.740909761056,7.69865893369371,351.636640072279,0.9417420860371
LE,INF,1,1,-71.1605665918212,7.15282024165331,246.934829314725,0.950668086795779
LE,INF,1,1,-25.9397011475968,2.7165505439043,35.3356209304689,0.957612962227582
LE,INF,1,1,4.25909023893985,3.95639023780823,30.1080902501865,0.832994460942721
LE,INF,1,1,5.93152692492299,4.54721875190735,30.0783581351744,0.912917530674012
LE,INF,1,1,-52.5501741597873,5.15250098705292,33.1855899743345,0.957659550085451
LE,INF,1,1,-77.6648002992703,4.68250654245678,54.8993174225937,0.883576219521016
LE,INF,1,1,4.25909023893565,5.52014355910452,54.280338467625,0.818108506247346
LE,INF,1,1,-76.9540066567146,4.12470847627391,52.6999321208402,0.882914998634832
LE,INF,1,1,-85.577947631962,8.52031502723694,39.4261934754625,0.96516026089517
LE,INF,1,1,4.25909023894402,5.46577890872955,68.3549183854007,0.967320312584681
LE,INF,1,1,-85.740909761056,5.34148555813414,92.1649771864715,0.944956621678586
LE,INF,1,1,4.25909023893565,6.31135848909616,70.0228826469372,0.936144071600239
LE,INF,1,1,4.25909023894401,4.28489764531453,30.7987473696351,0.781953527802515
LE,INF,1,1,-11.4503651460832,4.20695239305496,32.0171748002606,0.970243293726381
LE,INF,1,1,4.0675931731807,7.18153396248817,60.9303023621971,0.919229442303101
LE,INF,1,1,4.25909023893565,3.0617757499218,56.9755683920553,0.950371308454976
LE,INF,1,1,-20.1983110275867,5.04641925096512,52.3189905972723,0.96499610694113
LE,INF,1,1,-64.5898480811796,6.63755323886871,71.3922939742215,0.92754173928749
LE,INF,1,1,-59.9899880091094,8.17268074303865,277.94245423769,0.952538276227071
LE,INF,1,1,4.25909023893503,7.67439609766006,38.7705251323216,0.958506706455301
LE,INF,1,1,-40.0164834306177,3.51434502336714,35.9032408455039,0.907243863860935
LE,INF,1,1,4.25909023893502,7.92153584957123,49.796140519606,0.971431640786405
LE,INF,1,1,-81.5427733651093,6.76137671333093,367.757428314044,0.95760446112974
LE,INF,1,1,-27.4725366112491,5.04286202517423,39.0418371972261,0.839014786697736
LE,INF,1,1,4.25909023893516,3.80261992491209,70.1725395218812,0.931644158244254
LE,INF,1,1,-77.9246349571542,5.56676636515437,112.111920773771,0.932818848436748
LE,INF,1,1,-45.2397298960848,6.28810982844409,58.0763413903332,0.949686698785939
LE,INF,1,1,-67.8125539768843,7.50029221177101,113.261682261011,0.917718063218903
LE,INF,1,1,-50.0337869562,4.94263870716095,39.3681087283726,0.891942764495875
LE,INF,1,1,2.08824572947286,7.65813916921616,199.902888344582,0.971759650868869
LE,INF,1,1,-69.9856882454751,4.23871917384011,67.2154189325102,0.897104484125446
LE,INF,1,1,-72.3830942651178,8.91921477516492,98.7611024743613,0.965321818541569
LE,INF,1,1,-8.55150404442315,3.95528344924633,52.6394253479043,0.877167355405013
LE,INF,1,1,-45.1402984066704,6.60221495230993,43.0267883798272,0.881946651166089
LE,INF,1,1,-8.59312547955843,8.44956271184815,309.108243125384,0.961879033975528
LE,INF,1,1,-0.597152956420407,5.52373623847961,58.3325716225101,0.945359705255456
LE,INF,1,1,-7.98980394748557,8.56747799217701,198.012128151803,0.962695005928576
LE,INF,1,1,-8.55150404442326,3.80202531814575,66.8054582875815,0.883668641542058
LE,INF,1,1,-8.5931254795256,4.65502993499531,39.7096421098552,0.885704552381478
LE,INF,1,1,-7.98980394748556,6.93277041779624,67.6780763496671,0.9255853953327
LE,INF,1,1,-7.98980394748556,6.24466881385216,45.9493142794534,0.820385553975452
LE,INF,1,1,-7.25319461273189,3.12718228499095,33.9624940652346,0.85591133712566
LE,INF,1,1,-8.59312547955843,3.59986190936145,35.6812914510756,0.952880308343634
LE,INF,1,1,-0.596338475411314,4.82288010418415,40.5964159882835,0.617785383202478
LE,INF,1,1,-7.98980394748557,4.23763826915196,30.2692721991704,0.962046241664186
LE,INF,1,1,-11.409964322441,7.1363493232842,342.939808268802,0.947383068219943
LE,INF,1,1,-38.9282442154376,3.40283362070719,50.1950369130045,0.813893144504227
LE,INF,1,1,-7.98980394748557,4.61850433548291,62.8406082816693,0.936587940308289
LE,INF,1,1,8.55150404435755,2.63269417153464,33.7640919504051,0.947752424291572
LE,INF,1,1,-8.5931254795256,3.02843954563141,31.9338057957144,0.952401753992402
LE,INF,1,1,-17.1674787760287,9.84937012195587,151.299247807654,0.974121515546989
LE,INF,1,1,-11.7290257598937,4.87301928263444,44.7402124531155,0.933415908102917
LE,INF,1,1,-21.6694627080935,4.10734785520113,31.0840735245484,0.834583135368599
LE,INF,1,1,-61.5176497819026,4.01835793873359,101.160400830337,0.831834168854045
LE,INF,1,1,13.6876365112484,3.76509739103771,47.8699533898274,0.900450513780205
LE,INF,1,1,-21.7859145234138,5.30866236036474,66.5661862886058,0.942962528058261
LE,INF,1,1,-16.2713529088651,5.5772207216783,37.5270868472989,0.901691324164502
LE,INF,1,1,-71.4048870510503,5.82401750718846,100.922496427257,0.950243939707054
LE,INF,1,1,-85.7409097610584,3.72539170888754,64.756063885895,0.95855946897468
LE,INF,1,1,3.75988109013315,4.05674908161163,44.3517150273859,0.949388462584924
LE,INF,1,1,-72.595367259159,4.4610510850564,95.5901631344738,0.901193421920833
LE,INF,1,1,-69.2378436137475,6.92945283651352,54.9961852455004,0.966443923817823
LE,INF,1,1,2.14880213703011,5.86048530538877,70.6277092850114,0.908921102392876
LE,INF,1,1,-74.0978942638558,4.65680751379798,48.1786053428422,0.948669626338533
LE,INF,1,1,4.06759317317828,6.53947855234146,32.8861517820059,0.890179019140418
LE,INF,1,1,-60.7058076310526,7.2017185904763,36.7902784936217,0.963300408271791
LE,INF,1,1,3.12619799063817,6.27270052830378,43.5821739457528,0.923809912018361
LE,INF,1,1,2.82122200982429,9.72970628738403,54.496889647946,0.97270566201556
LE,INF,1,1,-86.0466106556624,6.46545457839966,114.297521127942,0.927569252590468
LE,INF,1,1,4.25909023893952,8.36276782883538,35.4963541799665,0.93137876476035
LE,INF,1,1,-84.51119980557,7.7673198329775,152.938577555846,0.975036899250604
LE,INF,1,1,-81.4484959556008,8.05243735159597,133.635066847632,0.913210002063482
LE,INF,1,1,4.06759317317645,5.94635708332062,32.761076827757,0.986261502107627
LE,INF,1,1,8.55150404439924,6.51123302323478,52.9577488970227,0.988610005924499
LE,INF,1,1,-59.7023834199305,6.5546877017388,48.7535429882852,0.804399858932889
LE,INF,1,1,-33.3171754918746,5.34185084104538,34.16993629907,0.890075193155067
LE,INF,1,1,-86.9851284824501,4.3290626257658,39.6698599621754,0.958237706252087
LE,INF,1,1,0.942840118353328,6.87360268480638,63.9566169517152,0.953899675724522
LE,INF,1,1,3.5527136788005e-15,6.83490146398544,67.0859962147968,0.882620646830164
LE,INF,1,1,-1.70383220102454,7.38785206268881,405.25223432626,0.948842345652113
LE,INF,1,1,-80.6186310885303,6.46206254255576,203.213661206016,0.962805886142024
LE,INF,1,1,-35.8558395240145,2.96811469395955,36.0622425583528,0.990929410798228
LE,INF,1,1,-11.0745182846885,5.27973975340525,83.318161919061,0.890591248381597
LE,INF,1,1,-84.438789000597,6.60199722095772,190.801190397274,0.922485666378991
LE,INF,1,1,-4.25909023893985,8.10521378300407,107.725279168252,0.860107077879771
LE,INF,1,1,9.61445069730283,6.91469331221147,219.146007304932,0.96756374938712
LE,INF,1,1,-48.8648086596373,6.73263498544693,32.159761791586,0.94417530509577
LE,INF,1,1,-3.5224581218201,8.42379450798035,175.904339903946,0.980181026756751
LE,INF,1,1,-80.3158226772471,7.48364346557193,74.1776919787167,0.963217927191446
LE,INF,1,1,3.20437220608205,5.76177817041224,41.1238371574633,0.924038285982358
LE,INF,1,1,-67.0006633104167,6.67314296019705,64.6646569772734,0.925412118439602
LE,INF,1,1,-84.9956200122481,4.19743291751758,179.983312949741,0.94219229225455
LE,INF,1,1,4.25909023893503,5.40501587665998,76.478166314652,0.915293911624409
LE,INF,1,1,-18.1650051752745,6.16180937820011,35.574413796499,0.820987912832306
LE,INF,1,1,4.25909023895175,6.17492936639225,55.0624809267258,0.908240932092227
LE,INF,1,1,5.91107224925453,5.22650235229068,97.297032731402,0.976445636059429
LE,INF,1,1,-83.3477274575183,6.1050982127587,84.6976165248784,0.909193155513349
LE,INF,1,1,4.25909023895175,9.9101348140023,61.4348298684833,0.96710291600452
LE,INF,1,1,-5.67068366485946,5.86622242056406,185.597514194022,0.953798321040561
LE,INF,1,1,-5.91107224912156,8.54933200904301,161.870472765785,0.957854616084666
LE,INF,1,1,-6.65227254248177,5.66066241264343,36.1061101078437,0.972525138467649
LE,INF,1,1,-6.61187099411134,4.24009833773788,112.838905671163,0.981625242121445
LE,INF,1,1,-6.65227254244861,3.9673847258091,37.2191400146979,0.985725963609052
LE,INF,1,1,0.792463261196061,8.7463212770129,262.110021835933,0.970327108465309
LE,INF,1,1,-3.5823571574635,9.03664196491241,146.934731426016,0.915619058646308
LE,INF,1,1,3.08697045878923,2.79022510612712,33.2360679774998,0.993353006161529
LE,INF,1,1,-71.7755663525691,8.27453712856068,71.0445668318752,0.946843977450893
LE,INF,1,1,1.14172182653011,6.15327883781271,155.481659516252,0.945799087532613
LE,INF,1,1,-7.98980394748556,4.94801123936971,68.5106246632827,0.928901329094085
LE,INF,1,1,3.33066907387547e-15,6.48220593459678,225.369382766419,0.971991259418418
LE,INF,1,1,-56.3147863350791,3.95865697860718,41.7856693361336,0.989335671151747
LE,INF,1,1,-85.418779914723,5.27679079771042,63.1951328837481,0.791832879042114
LE,INF,1,1,-86.34406351139,7.24349816503196,105.993844436955,0.887295490186235
LE,INF,1,1,3.10862446895044e-15,4.06375243789271,44.5467743309811,0.966321066935796
LE,INF,1,1,-78.5163759240046,8.62298954234404,80.00794983124,0.951959102288849
LE,INF,1,1,-67.5116500619368,9.41759037226439,78.5265121310132,0.9693328644082
LE,INF,1,2,10.1441299773624,4.71538330499942,67.5616312843916,0.938220329526088
LE,INF,1,2,-79.8558700226356,8.89816876649857,453.405109928991,0.974997831869404
LE,INF,1,2,-79.8558700226359,9.1792780851063,186.118410403091,0.949610097874827
LE,INF,1,2,-58.5023602581331,8.57988821135627,41.0467527307252,0.832611904904427
LE,INF,1,2,-79.8558700226359,8.31072928444032,157.359882884339,0.924604808653074
LE,INF,1,2,-52.2191520282081,6.93362976113955,43.1877117247932,0.912190751346714
LE,INF,1,2,-6.51813529934411,4.61734587616391,30.0502145665386,0.87095899427448
LE,INF,1,2,-79.8558700226376,5.93624136845271,53.4774192356285,0.909956032619566
LE,INF,1,2,-79.8558700226359,4.54876571098963,99.188822497769,0.90875947124614
LE,INF,1,2,-69.8972218014504,4.95593494176865,36.2825176503345,0.987993639342702
LE,INF,1,2,-68.2533381755184,5.63752616368807,44.3319719480007,0.821090239096485
LE,INF,1,2,-3.41120865050449,5.40440305796537,37.0021889406849,0.920452916622028
LE,INF,1,2,-80.7665568566305,3.70700021088123,30.4415278042774,0.966143438292639
LE,INF,1,2,-79.8558700226355,6.84535406394438,73.2649497662628,0.931744208946943
LE,INF,1,2,-72.026833472945,8.58574855021941,181.418270179075,0.947860969790287
LE,INF,1,2,-80.3855493027019,8.20150581427983,35.5689426646266,0.966170990206462
LE,INF,1,2,-77.524265029324,4.09586484943117,41.995578361172,0.971344072414481
LE,INF,1,2,-55.6933226571092,4.82463342666626,74.3899410496058,0.898650794854842
LE,INF,1,2,-79.8558700226355,5.11561493078868,38.5557578416318,0.972185004946493
LE,INF,1,2,-64.3960695203777,7.31217349492587,63.6884125848843,0.933938954006358
LE,INF,1,2,-70.6161135577292,6.86695816516876,50.097187596276,0.876930769587617
LE,INF,1,2,-67.5252288463059,8.03146868003042,109.656230848179,0.946707085143974
LE,INF,1,2,-85.740909761056,8.99846244335175,367.759247937445,0.962083007715814
LE,INF,1,2,-84.0998745189104,9.47040038638645,45.9491454862566,0.983204965276637
LE,INF,1,2,-83.4830580570268,10.7268704607132,863.942612542215,0.961487718369502
LE,INF,1,2,-85.7409097610602,10.0396986317325,391.141557074388,0.977110277051173
LE,INF,1,2,-68.269856655111,9.16666465997696,44.1422157097323,0.906728209013632
LE,INF,1,2,-68.5636805215045,4.95783096551895,42.2327811799808,0.97886172925748
LE,INF,1,2,-64.9455880074232,4.75708699226379,48.2752546009364,0.984104474924038
LE,INF,1,2,-76.078536397291,2.46279489994049,38.5409664129176,0.929012189168554
LE,INF,1,2,4.25909023893565,3.64313592408833,43.4614018990972,0.843834760022923
LE,INF,1,2,-78.6587144705765,6.45583233625992,75.3862742614552,0.977389435955026
LE,INF,1,2,4.25909023893565,8.25513376792272,116.076250834884,0.964959907043321
LE,INF,1,2,-79.3159718857593,6.63452671766281,63.3079301923538,0.971795373409928
LE,INF,1,2,-84.8733652277643,8.8236258106847,137.161897532941,0.980233846936147
LE,INF,1,2,-85.740909761056,6.61932013850463,132.76990765959,0.941508525083113
LE,INF,1,2,-84.9881633851387,4.66072967222759,38.0878305041991,0.974626853121724
LE,INF,1,2,-77.6441140355591,8.34686763755611,241.043853064403,0.947531256282019
LE,INF,1,2,-29.7078016097888,7.2058689811013,49.2240721721295,0.913057537200992
LE,INF,1,2,-84.9881633851387,5.32983856017773,38.8126365541962,0.956426197295474
LE,INF,1,2,-63.6842213907105,9.07442397820322,165.504521578918,0.939565940998866
LE,INF,1,2,-72.5708434564246,7.73148264224271,336.1856202794,0.932818195837391
LE,INF,1,2,-85.740909761065,7.85857771614851,224.702561342565,0.948086902533576
LE,INF,1,2,4.25909023893503,8.22300343513489,75.0628007733615,0.959196822636433
LE,INF,1,2,4.25909023895175,6.38483993212382,55.7067844391748,0.951410147499533
LE,INF,1,2,3.5527136788005e-15,7.58085731251372,637.143996215834,0.937188365236105
LE,INF,1,2,-86.3047794680108,7.18105792999268,31.9207732119494,0.971659572047301
LE,INF,1,2,-7.9898039474938,7.71491491710041,568.408176926926,0.968690283880905
LE,INF,1,2,3.5527136788005e-15,4.66724516664233,37.7729628044349,0.932620247185931
LE,INF,1,2,3.75988109005846,4.54949554204941,45.5246600456728,0.948620939070214
LE,INF,1,2,2.66453525910038e-15,5.68475327760942,186.990448512184,0.97008887533035
LE,INF,1,2,-78.0149451042421,5.46744695356337,199.372895821584,0.9128347394544
LE,INF,1,2,-76.7349707697231,7.07936910220555,30.9345994963134,0.989521643351999
LE,INF,1,2,4.25909023893503,5.33161567724668,49.3591431337852,0.931944865317445
LE,INF,1,2,3.12619799065,5.94541078805923,37.4112147637671,0.971515197255056
LE,INF,1,2,4.25909023895173,5.54790349006653,32.771336735777,0.982641771248021
LE,INF,1,2,4.25909023895175,5.44512184460958,34.7330442317405,0.989423222611579
LE,INF,1,2,-2.78509797910486,7.48440294795566,191.062826706474,0.938325445570809
LE,INF,1,2,-79.8659029792358,6.63811872778712,121.017872804908,0.90254882882783
LE,INF,1,2,1.67010875699673,7.52724373340607,37.8399201509241,0.908185863442946
LE,INF,1,2,-7.98980394748557,6.88045434575332,70.1129977487954,0.928719131618039
LE,INF,1,2,-7.98980394748557,8.00989849368731,97.1575148598574,0.958977638585465
LE,INF,1,2,-8.59312547952561,4.62578570842743,35.3151362155726,0.977636127254687
LE,INF,1,2,0.361654278888392,7.26122758289178,96.2270772063954,0.937363794982257
LE,INF,1,2,-7.9898039474691,3.64849781073057,74.5808364343892,0.881791292964172
LE,INF,1,2,-22.52043345863,4.31703232635151,37.970722676382,0.90083254523491
LE,INF,1,2,-78.5387868746576,5.21914819153872,36.0918093441502,0.914754583889806
LE,INF,1,2,-7.38552805323536,7.21732125963484,61.6001862542656,0.934391098868584
LE,INF,1,2,-7.98980394748557,6.66251901063052,100.858092724218,0.948936137169897
LE,INF,1,2,3.00772074813187,5.515100811209,44.6667017666475,0.919001177163222
LE,INF,1,2,-8.55150404439041,4.4890554950044,106.44796599217,0.862227383954157
LE,INF,1,2,-14.8035937996776,6.60068272408985,70.2811794512785,0.824888435498336
LE,INF,1,2,-6.90923289644692,4.54384666902048,87.0328404848715,0.854049383226933
LE,INF,1,2,8.98907921628818,2.95838328003883,42.9106614522041,0.844115176199158
LE,INF,1,2,-21.669462708108,5.72787547111511,74.5365736911979,0.87050570715589
LE,INF,1,2,-21.6694627081225,3.62270429730415,34.6505533154851,0.959336492394017
LE,INF,1,2,6.13913067127185,3.8418308356229,49.6023472761364,0.895264217540634
LE,INF,1,2,-13.7313928692119,3.00796177273705,56.9599998013846,0.866144411976925
LE,INF,1,2,-21.6694627080935,4.23546944345747,64.0150469872949,0.892605429470157
LE,INF,1,2,-75.8214697890149,4.2392469559397,44.6896135023285,0.918530018197825
LE,INF,1,2,-7.98980394750205,3.82628809660673,35.5349968752956,0.819486200021786
LE,INF,1,2,-79.5229880956972,8.24498618802717,120.977661946588,0.966838051648145
LE,INF,1,2,-75.3344458228893,6.45847664190375,75.6053972864846,0.965448935966732
LE,INF,1,2,-69.7425180142474,5.09389305432637,223.136716242835,0.946585127384949
LE,INF,1,2,-85.7409097610596,6.56015139073133,103.711980522778,0.888381158277696
LE,INF,1,2,-73.671040887839,7.24009044828086,109.011646429554,0.977250494938919
LE,INF,1,2,4.25909023894041,5.44164071977139,48.2350615371171,0.971081039846456
