Eye,Region,ROI,Layer,Angle,Width,Length,Straightness
LE,INF,1,1,6.21075454776255,5.01764728228251,33.659048552118,0.921479547780917
LE,INF,1,1,-51.4504844438434,8.10315856066617,38.4054912565239,0.957403522743756
LE,INF,1,1,-84.5546958639852,6.62746150639592,157.865523597257,0.966920273321729
LE,INF,1,1,-62.6678112253031,5.16407985512803,109.980095260415,0.917987823458228
LE,INF,1,1,-47.5180094645726,5.74830908434732,92.5846588330694,0.940673180383363
LE,INF,1,1,-63.5297790584438,5.39544909000397,114.221434023726,0.931361002942164
LE,INF,1,1,-17.1039665959129,4.70024286210537,32.0496348728572,0.948959723633186
LE,INF,1,1,-63.835328237461,3.95084500312805,34.2815594694242,0.969662430521502
LE,INF,1,1,-70.1934712398994,7.83070378076463,86.4057786451778,0.97387789642171
LE,INF,1,1,-10.9766868824836,3.73613282707002,48.4456278458262,0.870874175760999
LE,INF,1,1,3.36442313408691,7.92678966787126,87.9465706112289,0.923537070969257
LE,INF,1,1,-77.4982911691097,6.60169072223432,123.678630326206,0.93805405017978
LE,INF,1,1,-11.8142111567128,4.62072479724884,35.7558307117634,0.957451829695136
LE,INF,1,1,-10.5261880316107,8.80800586276584,41.5799482903031,0.953850730000865
LE,INF,1,1,-82.4728808910948,7.06348124794338,81.1716782136379,0.891191103320977
LE,INF,1,1,-30.5865047531572,4.14347961970738,60.3715159310814,0.534176266668687
LE,INF,1,1,-4.9382720135327e-13,5.73802040815353,40.9599592966828,0.942396398679128
LE,INF,1,1,-83.6403397602716,6.07673817021506,45.212110537483,0.797474666101866
LE,INF,1,1,8.02503290971444,5.93792437182532,36.8370690096606,0.953227297289861
LE,INF,1,1,18.8302963510385,5.11246199409167,33.0126285140826,0.933153310962727
LE,INF,1,1,19.485231801189,5.75488602031361,32.6243676900108,0.891017535840176
LE,INF,1,1,6.68562667678855,4.50073127785037,143.863964305707,0.931850368825355
LE,INF,1,1,9.2588673595541,7.46462020079295,109.182328014324,0.966957016596155
LE,INF,1,1,-78.6441877737382,6.34024863243103,32.0488930641685,0.943322218808942
LE,INF,1,1,-70.6583124611829,5.23917752153733,55.5743564185321,0.947033719498235
LE,INF,1,1,-45.9945171084106,3.9550164306865,40.3755278047434,0.842458403711413
LE,INF,1,1,-68.6597501877405,6.56877587190488,127.613725130793,0.972187742556774
LE,INF,1,1,-67.2864275635869,5.21775332364169,31.8480255414721,0.946671774804446
LE,INF,1,1,-73.7234888657867,4.09533357620239,52.4658831011899,0.903090316245034
LE,INF,1,1,3.66415788066171,4.80521199532918,34.6352616738181,0.931104008882725
LE,INF,1,1,-33.8988254205635,4.21073386073112,40.2646196609397,0.966360870767985
LE,INF,1,1,-69.0327849514163,7.03069208264351,89.2632901616927,0.943433890159805
LE,INF,1,1,-16.0873947003587,6.50146918637412,31.1962423207945,0.946577020937654
LE,INF,1,1,-42.0218134977956,5.16862285137177,43.9583120968668,0.828069771336763
LE,INF,1,1,-61.073753091073,5.19642485678196,53.4920607207416,0.851363539436128
LE,INF,1,1,-73.9785649555228,6.09258622389573,51.8346543071234,0.907549873230107
LE,INF,1,1,-11.1481385508569,4.36318399906158,30.4631066265416,0.972132821283557
LE,INF,1,1,-6.70043140330893,5.34412038326263,31.2885453591944,0.895466731693569
LE,INF,1,1,-14.105665096881,4.94642493724823,41.5868473892269,0.978825456354266
LE,INF,1,1,-10.6152911414081,4.52333592517035,40.7636420823462,0.862803444282268
LE,INF,1,1,-19.0376687993032,3.95221358537674,34.0768011646169,0.961260376233049
LE,INF,1,1,-38.7398950469459,5.71824006239573,42.402263942807,0.955647067179383
LE,INF,1,1,-80.496990840149,6.18399013578892,30.9031313956294,0.849389958602245
LE,INF,1,1,-52.8441140853835,8.69705076321312,108.943175843429,0.93608791447773
LE,INF,1,1,-73.2714334705231,4.45216947793961,35.0541114796708,0.907957999281687
LE,INF,1,1,-0.326794975768905,3.37216952969046,43.4895736785888,0.75425984113206
LE,INF,1,1,-68.324972878343,4.70215353369713,38.4986544630799,0.953672797489101
LE,INF,1,1,-58.8259021626432,6.12126408923756,66.5287555047509,0.932412596725238
LE,INF,1,1,11.5563967132505,6.27080688873927,30.1790747268152,0.948857524154275
LE,INF,1,1,-6.83169884855072,5.93876432180405,30.758756196456,0.943381327637597
LE,INF,1,1,-72.9241283584728,5.02029454282352,76.2955843180557,0.900188653755648
LE,INF,1,1,-60.2804458680906,3.25018665620259,38.7280068790195,0.964756164737717
LE,INF,1,1,-50.0925986299196,6.39559551385733,40.4407110377346,0.914919620613888
LE,INF,1,1,-10.7872878672542,3.95918010870616,52.9488191464146,0.946571748955812
LE,INF,1,1,6.34597947297453,6.68870104849339,48.2296928812609,0.949477590084626
LE,INF,1,1,2.51165230280498,9.06020680495671,68.9051322655161,0.931643453428836
LE,INF,1,1,2.51165230280498,5.03941448168321,49.7579893648912,0.958789580858109
LE,INF,1,1,-82.3785870653277,5.7291103047984,86.2663620013532,0.928518784375614
LE,INF,1,1,-75.1080575149542,4.80685806274414,36.6598957264818,0.985403341185218
LE,INF,1,1,-77.7524503151296,7.7211615562439,58.9210283992059,0.825886810947814
LE,INF,1,1,-25.082681056039,5.43690764904022,32.2733602992265,0.97295839804347
LE,INF,1,1,0.0762673470413602,7.53120310571459,163.582703658606,0.947710400136034
LE,INF,1,1,-79.0242277107394,3.60447523593903,96.7430632264767,0.972140606466477
LE,INF,1,1,-78.9089882823294,6.93724966049194,48.4515578590866,0.972015130952785
LE,INF,1,1,7.18128513257303,6.77444536771093,371.443790191669,0.955824862056068
LE,INF,1,1,-6.91307292944104,5.71822703697465,151.773825747872,0.946673115323435
LE,INF,1,1,4.59073182930799,4.08352185563838,110.649430496483,0.949330221843375
LE,INF,1,1,7.81444909756744,8.95694770336151,129.332957975476,0.966528577810034
LE,INF,1,1,-7.48827985692207,3.83338759839535,54.0041181372477,0.945098306965903
LE,INF,1,1,-7.48827985692207,4.52169815983091,46.6804262401612,0.935738228073477
LE,INF,1,1,-9.97350303019178,4.42019571977503,49.6501542483901,0.922533487675525
LE,INF,1,1,-5.82768330916422,3.95628957237516,39.9229589743624,0.935208971588641
LE,INF,1,1,-7.4882798569226,5.94368390440941,69.4222100185864,0.942924625688047
LE,INF,1,1,-2.45872674956799,5.84293577671051,62.4241395654132,0.980463253774803
LE,INF,1,1,-5.48880019442946,5.77400147914886,36.9082643319211,0.981393766631894
LE,INF,1,1,3.85924250883831,5.66789142427773,93.9136839806258,0.923010663163421
LE,INF,1,1,-88.3762344409105,7.62197465468676,146.435703259648,0.887866693784557
LE,INF,1,1,-82.394897260446,5.94335745062147,84.3180734660893,0.976045048839238
LE,INF,1,1,-5.41861463265453,2.56057999752186,35.3584854723723,0.971921735214908
LE,INF,1,1,-76.3435487264606,7.63988196849823,84.1367815719988,0.870560519910554
LE,INF,1,1,-4.06660086598244,5.41254982153575,40.1282394944202,0.945651551130149
LE,INF,1,1,-8.06236583445069,3.49025055941413,45.1449083466423,0.917859847937496
LE,INF,1,1,-36.7770423749944,4.67857616597956,38.4576295025753,0.956105539974539
LE,INF,1,1,-76.7075409475316,7.16067443444179,72.2489598758863,0.942105525365275
LE,INF,1,1,6.174194692379,7.10139700051012,97.6453247016069,0.870738321735548
LE,INF,1,1,-10.9991754833205,3.95223551988602,43.6837731138462,0.900087233769927
LE,INF,1,1,-11.0717518304409,4.32717203348875,49.6070591392433,0.932095409183591
LE,INF,1,1,-1.45948169352128,5.93657939774649,30.9731672669651,0.96911826229738
LE,INF,1,1,0.0762673470416155,6.84700562102454,254.372687344811,0.766702609169334
LE,INF,1,1,-0.0317472259642972,3.95695267617702,31.7411141895754,0.803219994600477
LE,INF,1,1,-10.4199589938261,5.44734725356102,36.2629784666753,0.971454397767974
LE,INF,1,1,-87.6476736883226,5.94110071659088,96.6261345785784,0.941831055713194
LE,INF,1,1,-63.603246618767,7.20559980392456,102.949131374593,0.895543685914793
LE,INF,1,1,-70.0657085590491,7.99499086675973,125.846127564282,0.960210201539182
LE,INF,1,1,0.0762673470416271,6.6263638658957,392.43267514328,0.951249756663692
LE,INF,1,1,-1.24336260552193,5.07711883634329,40.9046129663886,0.812659938978128
LE,INF,1,1,-43.6790863197452,7.26188023885091,40.2487011712363,0.946089300305982
LE,INF,1,1,-58.6271518908037,4.48916832967238,30.0815841435957,0.863036662150702
LE,INF,1,1,-1.54095692060423,2.82110911607742,37.4070969418032,0.947416217528864
LE,INF,1,1,-23.9353132182548,3.59739748998122,39.6762294264875,0.929819542447874
LE,INF,1,1,-26.557307177416,3.69200790723165,30.9356648256589,0.798372306192416
LE,INF,1,1,-52.6591356771119,8.77470372972034,96.7254856395479,0.902359438352933
LE,INF,1,1,-86.1803219695609,2.75978160699209,36.9186488810795,0.948417232515995
LE,INF,1,1,-78.0895452887562,9.05643149784633,39.0825662310932,0.847848190306384
LE,INF,1,1,-14.8522875948162,5.34716001749039,35.7446429455056,0.878471131578708
LE,INF,1,1,-1.17165220015198,4.44931869208813,49.5273658915141,0.950901516959853
LE,INF,1,1,-66.0424870402172,3.73442792892456,40.136768613885,0.932892500985864
LE,INF,1,1,-14.4450426472403,4.1214107076327,39.5737090207171,0.955233089804192
LE,INF,1,1,-0.266061206076103,4.26177281599778,34.3111613069726,0.863106483775692
LE,INF,1,1,-15.2641688539335,4.94927474856377,52.0324930344398,0.891758751627925
LE,INF,1,1,-83.0960189963058,7.66286976713883,146.173992948069,0.932006358859
LE,INF,1,1,0.076267347050024,3.61402352102872,56.4998703860314,0.778762848469794
LE,INF,1,1,0.0762673470500239,4.90026108991532,58.3127088253742,0.93189827348799
LE,INF,1,1,-50.2330266584978,3.66844376495906,30.49164806808,0.982782172371779
LE,INF,1,1,-0.113767765821095,4.94772307078044,32.1239336898444,0.9774841785999
LE,INF,1,1,4.32504674615661,3.8523237093901,87.433205913485,0.938137699065987
LE,INF,1,1,-21.8211793993824,4.28869952758153,33.3335200458004,0.960463255701006
LE,INF,1,1,-7.21606052954229,3.83243760466576,34.452794814757,0.888001024185489
LE,INF,1,1,-1.15133318623402,4.31041092532022,66.7269164831132,0.916137146510918
LE,INF,1,1,-6.86536351563285,2.70623577895917,32.3766804318095,0.870317933506438
LE,INF,1,1,-5.49366780747619,2.71076994082507,82.3678365284171,0.929137424025779
LE,INF,1,1,-6.07069133640585,5.73914443091913,266.617494581665,0.956485193112334
LE,INF,1,1,-5.02364572174733,2.46940393000841,38.0565899459862,0.977901282923061
LE,INF,1,1,-1.91609489861943,5.67314102649689,66.7862761575014,0.931348320928199
LE,INF,1,1,-8.44263457752923,6.38148545556598,83.5333462821569,0.937282175429594
LE,INF,1,1,-5.90693766378352,4.66237369605473,59.9349770065247,0.925063591773476
LE,INF,1,1,-5.64819017034738,2.73220252990723,32.3005235209235,0.897818265428871
LE,INF,1,1,-70.5320549937828,4.39085252210498,97.6345597878158,0.947839398376874
LE,INF,1,1,-4.61750248006343,5.32519555502924,85.2629306306409,0.817716111075801
LE,INF,1,1,-2.23029211808217,4.66508451529912,36.751106459071,0.971212571107219
LE,INF,1,1,-57.621237415308,6.66666505553506,41.0139083464025,0.902132995653544
LE,INF,1,1,-81.9401286429336,3.82471257646879,126.76372367547,0.945228618300305
LE,INF,1,1,-84.5099481760303,6.63299963474274,63.5682500247363,0.928669399418892
LE,INF,1,1,-84.0059902626448,6.75353585590016,222.566553138115,0.939915217286001
LE,INF,1,1,-82.4544368879605,4.52168778862272,33.4078007806585,0.965314394830348
LE,INF,1,1,-51.8389187855143,4.55329360961914,41.5592783284535,0.831097975411509
LE,INF,1,1,-75.5207679477004,2.63389596768788,73.2152590046053,0.92967156336475
LE,INF,1,1,-82.4792962965972,5.27467620940435,55.9258413764108,0.968209760462591
LE,INF,1,1,-3.39040701814712,4.11681792020798,108.053574630809,0.97389720801153
LE,INF,1,1,-81.239799957314,4.66508556263787,69.2279560937455,0.911869423428634
LE,INF,1,1,-86.7272551255047,7.32311616452892,327.491747885781,0.961977460727785
LE,INF,1,1,-0.31987706816926,3.2380575173431,63.3513845599125,0.947230011965391
LE,INF,1,1,-86.7145080791703,6.46682153542837,151.506829387183,0.957143602265532
LE,INF,1,1,-0.788695671193425,3.74092148883002,56.9349766949137,0.949100666783141
LE,INF,1,1,-1.86260004024914,7.63051508974146,98.4076877401726,0.924054249405479
LE,INF,1,1,-86.5566971118199,4.05788828134537,45.4722958829045,0.94588640182084
LE,INF,1,1,-57.2341616211963,9.06002488590422,96.6154294671845,0.964080465110358
LE,INF,1,1,-1.54177706756995,3.8969888429384,89.2771031227194,0.919580722665752
LE,INF,1,1,-63.7563784208641,3.12485170991797,30.4721359549996,0.939732028264807
LE,INF,1,1,-61.7778079586322,4.5548061132431,33.5006274054024,0.934935311739289
LE,INF,1,2,0.467869514150836,8.88694915771484,140.001504261269,0.978169807923585
LE,INF,1,2,0.467869514150832,7.77808350324631,206.72678664051,0.964796313551617
LE,INF,1,2,-2.61310881479521,6.6820610165596,36.0758155154942,0.8887516089551
LE,INF,1,2,4.47778556627696,3.96278824125017,44.7885976046266,0.986444015478287
LE,INF,1,2,-6.50038797646344,5.18883877787097,79.6827916510707,0.694785423496414
LE,INF,1,2,0.467869514150832,5.30417491804879,154.45454591777,0.969712476051976
LE,INF,1,2,0.467869514150827,5.93768763542175,35.8780511431806,0.98187690761216
LE,INF,1,2,-40.2524211367988,6.20389729340871,37.9067019597454,0.769118862020417
LE,INF,1,2,-11.8563538138148,5.05753610531489,57.1730618727217,0.913044200094854
LE,INF,1,2,-16.5370958466617,5.71487568484412,44.1036227484126,0.932941075103924
LE,INF,1,2,-20.6450818973069,5.61810370286306,42.0126845164305,0.978504707693973
LE,INF,1,2,6.20094955499547,5.49968506230248,73.3031226725673,0.970116745338285
LE,INF,1,2,-61.6252219511057,6.12262896696727,99.2716677370575,0.892161493010526
LE,INF,1,2,-70.3198767114643,7.2641987417951,286.640686090342,0.965156818097616
LE,INF,1,2,-13.5310947303557,5.27594151099523,31.3186327724312,0.960553359132075
LE,INF,1,2,-63.6312096734833,4.45519261360168,40.4434335432005,0.923173581820331
LE,INF,1,2,-70.9056001828368,6.04321191185399,58.5224962247208,0.941206561049156
LE,INF,1,2,-49.0064965893893,6.27458957831065,35.8890755313055,0.979992108168371
